	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	In Orth 2011	Substrates	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
Can add reaction	No	['Beta-Lactams // WATER // CPD-8550']	EG10040	ampC	&beta;-lactamase; penicillin resistance	characterized	characterized	2.55944531801E-06	0.69	0.673	0.234	0.256	N	N	N	penicillin-binding protein; beta-lactamase, intrinsically weak	Enzyme; Drug/analog sensitivity	Penicillin-binding protein; beta-lactamase, intrinsically weak; penicillin resistance; affects morphology	Antibiotic resistance 	antibiotic catabolic process
Can add reaction	No	['ATP // EG10443-MONOMER // HIPA-P // ADP']	EG10443	hipA	serine/threonine kinase HipA	characterized	characterized	3.4397939598E-06	0.78	0.755	0.23	0.155	N	N	N	inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase	Enzyme; Protein modification	Inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase	Antibiotic resistance 	dormancy process
Yes	No	['PROTON // Drugs', 'CHOLINE // PROTON', 'BETAINE // PROTON']	EG10629	emrE	EmrE	characterized	characterized	5.90461459676E-06	0.91	0.701	0.349	0.371	N	N	u	DLP12 prophage; multidrug resistance protein	Transport; Drug/analog sensitivity; Phage or Prophage Related	Multidrug resistance pump, DLP12 prophage; methylviologen sensitivity	Antibiotic resistance 	choline transport
Can add reaction	No	['PROTON // Drugs']	EG11343	mdtG	multidrug efflux transporter MdtG	characterized	characterized	0.00000075	0.25	0.708	0.306	0.311	N	N	N	putative drug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux transporter; overexpression resistance to fosfomycin and deoxycholate	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG11354	emrA	EmrAB-TolC multidrug efflux transport system - membrane fusion protein	characterized	characterized	1.05741509896E-05	1.00	0.793	0.356	0.408	N	N	u	multidrug efflux system	Transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; periplasmic membrane fusion component, signal anchor; energy-dependent efflux of octane, thiolactomycin and the uncouplers DNP, CCCP, and FCCP	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG11419	bcr	multidrug efflux transporter Bcr	characterized	characterized	8.78456239126E-06	0.94	0.717	0.443	0.491	N	N	N	bicyclomycin/cysteine/sulfonamide efflux transporter	Transport; Drug/analog sensitivity	Efflux transporter for bicyclomycin, cysteine and sulfonamides	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG11439	emrB	EmrAB-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	4.90350438466E-06	0.78	0.754	0.407	0.478	N	N	u	multidrug efflux system protein	Putative transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; energy-dependent efflux of octane, thiolactomycin, and uncouplers DNP, CCCP, and FCCP; inner membrane-spanning translocase	Antibiotic resistance 	N/A
Yes	No	['GUANOSINE // PROTON', 'INOSINE // PROTON']	EG11689	nepI	purine ribonucleoside efflux transporter	characterized	characterized	2.26533315438E-06	0.44	0.701	0.179	0.151	X	N	u	putative transporter	Putative transport; Not classified	Purine ribonucleoside exporter; 6-mercaptopurine resistance	Antibiotic resistance 	purine nucleoside transmembrane transport
Can add reaction	No	['PROTON // Drugs']	EG11693	emrD	multidrug efflux transporter EmrD	characterized	characterized	9.07156829663E-08	0.00	0.58	0.467	0.668	N	N	N	multidrug efflux system protein	Transport; Drug/analog sensitivity	Multidrug resistance pump; overexpression resistance to uncouplers and detergents	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG11720	mdtL	multidrug efflux transporter MdtL	characterized	characterized	0.000000546	0.25	0.691	0.301	0.291	N	N	u	multidrug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression confers low-level chloramphenicol resistance	Antibiotic resistance 	N/A
Yes	No	['Protein-Tyrosines // ATP // ADP // Protein-tyrosine-phosphates // PROTON']	EG11826	etk	autophosphorylating protein tyrosine kinase	characterized	characterized	1.49780602117E-06	0.50	0.713	0.291	0.15	N	N	N	tyrosine-protein kinase, role in O-antigen capsule formation	Null	Tyrosine-protein kinase, required for O-antigen capsule formation; autokinase; polymyxin resistance	Antibiotic resistance 	peptidyl-tyrosine autophosphorylation
Can add reaction	No	['CPD0-1938']	EG11883	tehA	tellurite resistance protein / ethidium efflux transporter	characterized	characterized	3.62588573176E-06	0.69	0.713	0.323	0.383	N	N	N	potassium-tellurite ethidium and proflavin transporter	Transport; Drug/analog sensitivity	K+-tellurite, ethidium and proflavin efflux transporter	Antibiotic resistance 	response to tellurium ion
Can add reaction	No	['S-ADENOSYLMETHIONINE // CPD-4544 // CPD0-2381 // ADENOSYL-HOMO-CYS']	EG11884	tehB	tellurite methyltransferase	characterized	characterized	1.03831681074E-05	0.97	0.657	0.365	0.369	N	N	N	tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein	Enzyme; Drug/analog sensitivity	Tellurite, selenium methyltransferase; tellurite, selenium resistance protein; dimeric	Antibiotic resistance 	response to tellurium ion
