# dataset_S01 from Sanchez-Vazquez et al. Genome-wide effects on Escherichia coli transcription from ppGpp binding to its two sites on RNA polymerase. PNAS 2019.
# fold change represents log2 expression change from ppGpp after RelA induction (column 1+2+ 5 min in original dataset)
# category assesses output validity (column 1+2+ 5 min category in original dataset) – E and F should not be used and G is depleted in measurement (<200 nt or part of rRNA operon)
"gene"	"synonym"	"fold change"	"category"
"esrE"	"b4707"	NaN	"E"
"psaA"	"b4645"	NaN	"G"
"pawZ"	"b4643"	NaN	"G"
"sokA"	"b4614"	NaN	"G"
"pauD"	"b4631"	NaN	"G"
"pheM"	"b1715"	NaN	"G"
"trpL"	"b1265"	NaN	"G"
"pheL"	"b2598"	NaN	"G"
"ptwF"	"b4628"	NaN	"G"
"hisL"	"b2018"	NaN	"G"
"ilvX"	"b4669"	NaN	"G"
"sokX"	"b4701"	NaN	"G"
"ibsD"	"b4664"	NaN	"G"
"ibsE"	"b4666"	NaN	"G"
"ynbG"	"b4674"	NaN	"G"
"ileY"	"b2652"	NaN	"G"
"sgrT"	"b4662"	NaN	"G"
"ninE"	"b0548"	8.59	"G"
"essQ"	"b1556"	6.52	"E"
"ykgR"	"b4671"	6.34	"G"
"ryjB"	"b4624"	5.81	"G"
"cspI"	"b1552"	4.66	"E"
"eutS"	"b2462"	4.54	"E"
"yjbL"	"b4047"	4.28	"E"
"yehK"	"b4541"	4.12	"E"
"pheU"	"b4134"	4.03	"G"
"pheV"	"b2967"	4.03	"G"
"serU"	"b1975"	3.65	"G"
"ylcG"	"b4509"	3.49	"G"
"psiE"	"b4030"	3.47	"B"
"csgF"	"b1038"	3.4	"B"
"ssuA"	"b0936"	3.34	"B"
"phoH"	"b1020"	3.31	"B"
"ygiZ"	"b3027"	3.19	"E"
"ydgU"	"b4601"	3.18	"G"
"csgE"	"b1039"	3.09	"B"
"kilR"	"b1352"	3.02	"E"
"ydfR"	"b1555"	2.92	"E"
"tfaQ"	"b1546"	2.92	"E"
"raiA"	"b2597"	2.88	"B"
"add"	"b1623"	2.8	"F"
"yqfG"	"b4684"	2.71	"G"
"yibT"	"b4554"	2.64	"B"
"dsrA"	"b1954"	2.61	"G"
"ycjN"	"b1310"	2.6	"B"
"argC"	"b3958"	2.56	"B"
"yegR"	"b2085"	2.55	"B"
"rydC"	"b4597"	2.48	"G"
"ibsB"	"b4668"	2.47	"G"
"proL"	"b2189"	2.45	"G"
"tdcR"	"b3119"	2.45	"E"
"rydB"	"b4430"	2.43	"G"
"ypfM"	"b4606"	2.41	"G"
"yjhI"	"b4299"	2.41	"B"
"ariR"	"b1166"	2.38	"B"
"yeiL"	"b2163"	2.38	"B"
"fimB"	"b4312"	2.32	"B"
"yidL"	"b3680"	2.25	"B"
"csgD"	"b1040"	2.22	"B"
"ygaM"	"b2672"	2.19	"B"
"yceO"	"b1058"	2.19	"G"
"narW"	"b1466"	2.18	"E"
"yhhY"	"b3441"	2.18	"B"
"ymgC"	"b1167"	2.17	"B"
"msrA"	"b4219"	2.17	"B"
"rsd"	"b3995"	2.16	"B"
"qorA"	"b4051"	2.15	"B"
"rutC"	"b1010"	2.14	"E"
"argB"	"b3959"	2.14	"B"
"uspA"	"b3495"	2.14	"B"
"ydiP"	"b1696"	2.13	"B"
"argE"	"b3957"	2.12	"B"
"ymcE"	"b0991"	2.05	"E"
"eutD"	"b2458"	2.04	"B"
"dkgA"	"b3012"	2.02	"B"
"ymgA"	"b1165"	2.01	"B"
"yciI"	"b1251"	1.99	"B"
"ybhG"	"b0795"	1.98	"B"
"nac"	"b1988"	1.98	"B"
"hchA"	"b1967"	1.97	"B"
"clpA"	"b0882"	1.97	"B"
"chiX"	"b4585"	1.97	"G"
"argF"	"b0273"	1.97	"B"
"waaH"	"b3615"	1.96	"B"
"ybgD"	"b0719"	1.95	"E"
"yhjD"	"b3522"	1.95	"B"
"gcvT"	"b2905"	1.94	"B"
"yceH"	"b1067"	1.94	"B"
"yfjW"	"b2642"	1.92	"B"
"puuA"	"b1297"	1.91	"B"
"ycjO"	"b1311"	1.89	"E"
"ypjK"	"b2635"	1.89	"E"
"uspC"	"b1895"	1.87	"B"
"ymgE"	"b1195"	1.86	"E"
"sufA"	"b1684"	1.86	"B"
"yehA"	"b2108"	1.86	"E"
