TF	Gene	FC
alaS	aceE	0.9859321167161212
alaS	dcuS	0.49949526211670214
alaS	feaR	-0.9923489812067219
alaS	kbl	1.855845380811103
alaS	tdh	1.5896202176062815
alaS	ydcS	-0.7642507912957495
alaS	yiaJ	-0.44939207715133556
alaS	yieP	1.29898566765576
alaS	yjgX_2	0.7564763798219971
appY	aceB	1.5199267853610214
appY	aceE	0.4080368348169614
appY	ackA	-1.811921064952166
appY	acnB	1.7117723837784489
appY	acs	2.712678048137139
appY	actP	1.8506282789317448
appY	adhE	-1.6015017507418419
appY	adhP	1.6022707764589592
appY	aidB	1.280672611275981
appY	alaE	3.3430033827892975
appY	ansB	-1.2090827843719318
appY	appC	2.6190269040553886
appY	appY	0.5972357774480526
appY	arcA	-2.200139360369249
appY	astC	1.8513820524233484
appY	b3004	1.915410648071198
appY	betI	1.162113724035584
appY	bsmA	0.5874775865479585
appY	bssR	-2.7605043455324783
appY	btuE	1.2477099802176124
appY	can	1.453163333333336
appY	cirA	4.327046904055399
appY	crl	1.5842079970326708
appY	curA	2.5137948961424277
appY	cyoB	2.7275032937685633
appY	cyoC	2.5704251473788498
appY	cyoD	2.9896618545993903
appY	cyoE	2.045767700296749
appY	dadA	2.588919851632058
appY	dadX	1.5942760237388773
appY	dppB	-1.809205949554932
appY	dppD	-2.1907464243323505
appY	dppF	-1.9646904451038472
appY	dps	1.8562508407516987
appY	efeO	3.5006015759973756
appY	entA	3.8014987438180157
appY	entB	0.3883763864160838
appY	entC	4.264101112759682
appY	entD	3.3499437052423326
appY	entE	3.7363290471480455
appY	entF	3.7863001417738125
appY	entH	3.537874187273331
appY	exbB	-2.945838170128563
appY	fadD	0.8626424282888525
appY	fadI	1.1322969188921839
appY	fadJ	0.9751050247279576
appY	fecA	1.0527332443125461
appY	fepA	-0.22133533877348888
appY	fepB	2.514291081437509
appY	fes	2.2842000692383975
appY	fhuF	-4.167315272007873
appY	fiu	4.647383456973274
appY	flu	3.4661970623145155
appY	fnr	-0.7878592779426157
appY	focA	-1.7576144362017887
appY	ftnA	-1.9037084371909159
appY	fumA	1.5449239268051205
appY	fumC	1.3864814589515264
appY	gapA	-0.9218783283878089
appY	gapC_1	0.45032966369929284
appY	gatR_2	-1.1132381107814275
appY	gcvA	-0.20304755687437215
appY	gcvH	1.1244371216617797
appY	glcC	2.6445497362347608
appY	glpX	-0.37489454995053784
appY	gmr	1.1120598813056093
appY	gpmA	1.6710427893175055
appY	gpmM	-1.0934025585229292
appY	gshB	-0.3692615133531163
appY	gsiC	0.8228823442136743
appY	gstA	0.7508389020771133
appY	hchA	1.3327265479722783
appY	higB	0.539938544114718
appY	hyaF	0.07069465380813389
appY	hybA	-2.2265577250246906
appY	hybB	-2.584727349159236
appY	hycA	3.512667359050419
appY	hypA	-2.205945044510389
appY	hypB	-2.1939412512363785
appY	icd	2.0080915479723385
appY	iscR	2.2513382459611333
appY	kbl	1.368033343224539
appY	kgtP	1.9433328862512194
appY	ldcC	1.0148365677547293
appY	lhgO	1.6451203387734825
appY	lpd	1.2737239465875092
appY	mdh	2.3564391493570813
appY	mhpR	1.8305706627101515
appY	mnmG	-0.5961664688427302
appY	mntH	3.3692244411473746
appY	msrB	1.4323762842070564
appY	mtn	-0.40729897131552484
appY	nadE	0.24361786350148407
appY	narZ	1.1578295944608987
appY	nrdE	4.2357443587207415
appY	nrdF	3.3875607945928174
appY	nrdH	3.380103714144395
appY	nrdI	4.393507378832827
appY	oppB	-2.402028123145405
appY	oppC	-2.307000853940051
appY	osmB	2.14996670623146
appY	osmC	1.9933758160237636
appY	osmY	4.467702126607291
appY	oxyR	-1.393625014836804
appY	pbpG	-0.6324661325420138
appY	pepE	-2.2846086300692594
appY	pflA	-1.8179880563798303
appY	phoH	2.7417016482030987
appY	pitA	-0.64597745796239
appY	preT	-1.1410360435212619
appY	psiF	2.147216211671636
appY	puuA	1.9556449406528138
appY	puuB	1.8851335707220702
appY	puuD	1.5395958654797264
appY	puuP	1.5673118892185833
appY	pyrD	-0.9950073392680263
appY	pyrG	0.3750909693372755
appY	sbmC	1.6158110286844796
appY	sdhA	3.1543066330365965
appY	sdhB	2.675787299703285
appY	sodA	4.8075489515331356
appY	sodB	-3.7726000197824012
appY	sodC	2.249590949554851
appY	spy	0.7280492383778183
appY	sstT	-1.6261190207714993
appY	sthA	1.766525999010903
appY	sucA	2.2893555258819904
appY	sucB	2.4422536320474295
appY	sucC	2.649023387734953
appY	sucD	2.421850019782349
appY	sufB	3.8758584009231414
appY	sufE	1.2108926904055517
appY	sufS	3.0899055588526183
appY	tam	0.5362812660731908
appY	tktA	-0.8562116617210176
appY	torS	-1.3638261226508432
appY	treA	1.6472403659742962
appY	ugpB	1.7820407220573946
appY	ugpQ	0.7496854401582169
appY	ybaN	-1.6219119980217362
appY	ybeL	1.489172012858532
appY	ybiX	3.889100375865506
appY	ybjX	-1.6552835212660995
appY	ycaC	1.4973130069238625
appY	yceA	1.7629685954500758
appY	yceI	2.4274475766567702
appY	ycfS	0.935169950543985
appY	ycgZ	1.7350076656775595
appY	ychF	-0.7454702670623359
appY	yciF	1.847813709198797
appY	ydcI	2.5054969535113747
appY	yddA	1.3073597922848599
appY	yddB	2.3158465667655683
appY	ydfO	-0.6743900356083383
appY	ydfZ	-5.443004600642942
appY	ydiE	0.9023595984174125
appY	ydiI	-0.8363261226508456
appY	ydiJ	-0.9818520573689558
appY	ydiZ	1.3835617408506664
appY	yeaH	2.2004974282888234
appY	yeaQ	1.5437753972964294
appY	yebF	1.3236681998021442
appY	yebV	1.6650688501483657
appY	yedR	0.6141058259149439
appY	yedX	-2.9129804127326295
appY	yedZ	-2.2786148554346766
appY	yeeR	2.6356393867457726
appY	yegP	2.2905507912957805
appY	yegS	1.5737853247609745
appY	yejG	2.831405890207729
appY	ygaM	2.338545934718139
appY	ygaU	2.583307319485632
appY	yggL	0.5783142729970212
appY	yhbU	-1.4520084421365025
appY	yhdH	-0.5626450346191874
appY	yhhA	1.8193342927794287
appY	yjcH	3.1415745831849753
appY	yjgL	-0.2133451157270203
appY	yjgR	0.8292901088031588
appY	yjiH	-3.307709163204735
appY	yjiM	-2.8861620395648053
appY	yjiY	1.7096479030662826
appY	yjjI	-1.9440177151335138
appY	ymgA	1.4921459792284857
appY	ymgD	-1.8974262636004269
appY	ymgE	2.2784857072205567
appY	yncE	5.296390435212667
appY	ynfE	-2.9077400850643107
appY	ynfF	-3.6770350445103857
appY	ynfG	-3.0700276874381807
appY	ynfH	-1.6416652176062896
appY	ynhG	1.7262157319485656
appY	yniA	1.5556305242333952
appY	ynjC	-1.3631027464556897
appY	yohF	1.601555489614233
appY	yqjD	1.12280795746788
appY	yqjH	-1.8745552868447062
appY	yraN	-0.38257147378834233
araC	abgA	2.7251257121661627
araC	b1354	-1.7074393511375057
araC	fbaA	-0.8065464688427042
araC	gapA	-1.074849258160251
araC	hemD	-0.21989557863498455
araC	iscX	0.800506028684536
araC	lptE	0.8845114094955218
araC	metK	0.8677443125618147
araC	mobA	-0.3288580415430502
araC	murR	0.5728123541048467
araC	ogt	2.893763731454027
araC	ompX	0.749858674579599
araC	rbfA	1.8189718298714315
araC	recG	-0.6692827052423098
araC	rrlG	-0.19274629080114813
araC	rrsG	0.1927462908011499
araC	rrsH	-0.15004183976256336
araC	sodA	2.0915477002967986
araC	srlR	-1.0354523936696864
araC	trmD	0.05224139465883404
araC	yafT	-1.309180039564784
araC	ygaU	-1.3873560138477226
araC	yhjH	-1.2710935608308889
araC	yijF	-1.3423721711176846
araC	yjgM	-0.6686367507418458
araC	ylbF	0.5123823887239896
arcA	aat	0.6312931379821984
arcA	abgT	-0.7834717309594605
arcA	aceA	-2.3128473293768863
arcA	aceB	-1.503704324101518
arcA	aceE	-0.4080368348169614
arcA	aceK	-0.9627893570722268
arcA	ackA	1.8266402835476456
arcA	acnA	-1.6460213822947578
arcA	acnB	-1.7999521933729223
arcA	acrE	-0.7573381672601371
arcA	acrF	-1.4817467852621165
arcA	acs	-2.768630466534782
arcA	actP	-1.65749920811079
arcA	adhE	1.4845920250576758
arcA	adhP	-1.4319584849983478
arcA	adiY	1.6017822106824955
arcA	aer	0.6724577744807103
