# Generated by ko-metabolites/ode_network.py on Sat Apr 18 12:44:25 2020
# KO for each enzyme will be 1 if present, 0 if knocked out
# FC for each metabolite compared to wt condition
KO	FC
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.8198434980181343, 1.0013865038774692, 0.6943560794840105, 1.0023314619050465, 1.3262036891816102]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.9868204266650582, 1.000120513100749, 1.1100494336326858, 1.000202747733212, 0.8062121540297457]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.9205590766899013, 1.000625059982068, 1.3685803588694672, 1.0010506724509065, 0.7068022297622714]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.16718540775582, 0.998749391467761, 0.6913712941185373, 0.9978957568208127, 0.8733029016233181]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.105591590871087, 0.9991185315719526, 1.1356428338952995, 0.9985193610900218, 1.2874790254030544]
[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[2.803124699452185, 0.9854900510197911, 4.047313489945386, 0.9758649389379798, 1.083842368320814]
[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[4.559906192238619, 0.9714504143704004, 4.719524386345969, 0.9529461369394499, 0.752750623569485]
[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[2.146672783900147, 0.9908208845845957, 2.7136968711266394, 0.9846729803067866, 1.0784354888028462]
[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[3.3476575725289934, 0.9812581968293106, 3.345274051438915, 0.9689130242940828, 0.97681204543228]
[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[3.1289775227366063, 0.9828627461121338, 4.20673968133215, 0.9715455643104475, 1.243515934893148]
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[6.280154759623165e-05, 1.0078964210089383, 0.011822836705818506, 1.0133357695527045, 0.8161024291612956]
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[4.4998489199233096e-05, 1.0079343501159972, 0.008245795891554162, 1.0134002114163447, 0.5674421585094055]
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[4.4602927930161384e-05, 1.0079251031825103, 0.009184100611633422, 1.0133830789853333, 0.6327344647933897]
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[8.602988556397958e-05, 1.0078365278980497, 0.017571158769709393, 1.0132341393632092, 1.2085338828101964]
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[4.949496665330746e-05, 1.007937908754147, 0.007986075449841432, 1.0134037288675262, 0.5516975697744033]
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	[1.0110644306202052, 1.0000644570148818, 0.010184027486038383, 1.0001085763739548, 0.6909970853617559]
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	[2.8101493671891564, 0.9858839590599754, 0.01419169325499467, 0.976514370163945, 0.9573741547157708]
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	[1.451311765246547, 0.9965878147734433, 0.013718805448762372, 0.9942819722413818, 0.9295625825998964]
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	[2.5508767857349204, 0.9879841930292201, 0.009563665351423457, 0.9799789664203653, 0.6457022396200124]
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	[1.416513187316522, 0.9969080996057179, 0.00913404646077989, 0.9948174144262251, 0.6189519995101059]
[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]	[2.3218363246133595, 0.9654467865719781, 226.40073588423817, 0.9432897171615418, 0.5493962948587114]
[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]	[0.9877162644498118, 0.9916171933100456, 81.62105004472878, 0.9859991352471192, 0.8141393254538019]
