Downloaded smart table from ecocyc for all compounds with added column for common name
"Compound"	"Common-Name"
CPD-3565	"methyl-&alpha;-D-galactopyranoside"
CPD-21409	"a partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine I"
CPD-22528	"phenylethyl-&beta;-D-galactopyranoside"
CPD0-1193	"partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine"
METHYL-BETA-D-GALACTOSIDE	"methyl-&beta;-D-galactoside"
CPD-21406	"a partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine (fragment 1)"
CPD-21407	"a partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine (fragment 2)"
CPD-6746	"1D-<i>myo</i>-inositol 2-monophosphate"
D-MYO-INOSITOL-1-MONOPHOSPHATE	"1D-<i>myo</i>-inositol 1-monophosphate"
MI-HEXAKISPHOSPHATE	"phytate"
BUTANEDIOL	"(R,R)-2,3-butanediol"
PROPANE-1-2-DIOL	"(<i>S</i>)-propane-1,2-diol"
CPD-8891	"(<i>R</i>)-propane-1,2-diol"
CPD0-1051	"octyl &alpha;-D-galactopyranoside"
CPD0-1048	"octyl &alpha;-D-glucopyranoside"
BISOHMYR-GLC	"lipid A disaccharide (<i>E. coli</i>)"
CPD0-1052	"octyl 2-acetamido-2-deoxy-&alpha;-D-glucopyranoside"
CPD0-1049	"octyl &beta;-1,6-D-galactofuranosyl-&alpha;-D-glucopyranoside"
CPD-15878	"membrane protein integrase"
CPD0-1050	"octyl &alpha;-D-mannopyranoside"
CPD-2209	"N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol"
CPD-37	"5-dehydro-4-deoxy-D-glucuronate"
CPD-3611	"1-O-methyl-&beta;-D-glucuronate"
CPD-8923	"cyclohexane"
NICOTINAMIDE_RIBOSE	"1-(&beta;-D ribofuranosyl)nicotinamide"
CPD0-1630	"ADP-diglyceride"
CPD0-2076	"UDP-diglyceride"
CPD-18374	"cardiolipin (1,3-palmitoyl, 2,4-cis-vaccenoyl)"
CPD0-1158	"(3<i>E</i>,5<i>Z</i>)-tetradeca-3,5-dienoyl-CoA"
