  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
(1,4-α-D-glucosyl)(n)+ ADP-α-D-glucose ↔ ADP + (1,4-α-D-glucosyl)(n+1)	glycogen synthase	GLYCOGENSYN-MONOMER	GLYCOGENSYN-RXN	REVERSIBLE	"ADP-α-D-glucose
ADP
a 1,4-α-D-glucan"	"a 1,4-α-D-glucan
ADP-α-D-glucose"	"ADP
a 1,4-α-D-glucan"
(1,4-α-D-glucosyl)(n)+ H2O → (1,4-α-D-glucosyl)(n-1)+ D-glucopyranose	maltodextrin glucosidase	MALTODEXGLUCOSID-MONOMER	MALTODEXGLUCOSID-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a 1,4-α-D-glucan
D-glucopyranose"	"a 1,4-α-D-glucan
H2O"	"a 1,4-α-D-glucan
D-glucopyranose"
(1,4-α-D-glucosyl)(n)+ phosphate → (1,4-α-D-glucosyl)(n-1)+ α-D-glucopyranose 1-phosphate	maltodextrin phosphorylase	MALDEXPHOSPHORYL-CPLX	RXN0-5184	PHYSIOL-LEFT-TO-RIGHT	"phosphate
a 1,4-α-D-glucan
α-D-glucopyranose 1-phosphate"	"a 1,4-α-D-glucan
phosphate"	"a 1,4-α-D-glucan
α-D-glucopyranose 1-phosphate"
(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate ↔ (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate			RXN-9983	REVERSIBLE	"(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate
(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate"	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate
(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate → 2-succinylbenzoate + H2O	o-succinylbenzoate synthase	O-SUCCINYLBENZOATE-COA-SYN-MONOMER	O-SUCCINYLBENZOATE-COA-SYN-RXN	LEFT-TO-RIGHT	"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
2-succinylbenzoate
H2O"	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	"2-succinylbenzoate
H2O"
(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate ↔ indole + D-glyceraldehyde 3-phosphate	"tryptophan synthase subunit α
tryptophan synthase"	"TRYPSYN-APROTEIN
TRYPSYN"	RXN0-2381	REVERSIBLE	"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
indole
D-glyceraldehyde 3-phosphate"	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate	"indole
D-glyceraldehyde 3-phosphate"
(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine → L-tryptophan + D-glyceraldehyde 3-phosphate + H2O	tryptophan synthase	TRYPSYN	TRYPSYN-RXN	LEFT-TO-RIGHT	"L-serine
(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
L-tryptophan
H2O
D-glyceraldehyde 3-phosphate"	"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
L-serine"	"L-tryptophan
H2O
D-glyceraldehyde 3-phosphate"
(1Z,3Z)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate → (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate			RXN-13747	LEFT-TO-RIGHT	"(1Z,3Z)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate
(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate"	(1Z,3Z)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate	(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate
(2,3-dihydroxybenzoylserine)2+ H2O → 2 N-(2,3-dihydroxybenzoyl)-L-serine + H+	enterochelin esterase	EG10299-MONOMER	RXN-14479	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2,3-dihydroxybenzoylserine)2
N-(2,3-dihydroxybenzoyl)-L-serine
H+"	"(2,3-dihydroxybenzoylserine)2
H2O"	"N-(2,3-dihydroxybenzoyl)-L-serine
H+"
(2,3-dihydroxybenzoylserine)3+ 2 H2O → 3 N-(2,3-dihydroxybenzoyl)-L-serine + 2 H+			RXN0-6944	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2,3-dihydroxybenzoylserine)3
N-(2,3-dihydroxybenzoyl)-L-serine
H+"	"(2,3-dihydroxybenzoylserine)3
H2O"	"N-(2,3-dihydroxybenzoyl)-L-serine
H+"
