"Reactions"	"Enzymes of a reaction"	"Object ID"	"Object ID"	"Reaction-Direction"	"Substrates"	"Left"	"Right"	"Object ID"	"Object ID"
GLYCOGENSYN-RXN	GLYCOGENSYN-MONOMER	"GLYCOGENSYN-MONOMER"	"GLYCOGENSYN-RXN"	REVERSIBLE	ADP-D-GLUCOSE // ADP // 1-4-alpha-D-Glucan	1-4-alpha-D-Glucan // ADP-D-GLUCOSE	ADP // 1-4-alpha-D-Glucan	"1-4-alpha-D-Glucan" // "ADP-D-GLUCOSE"	"ADP" // "1-4-alpha-D-Glucan"
MALTODEXGLUCOSID-RXN	MALTODEXGLUCOSID-MONOMER	"MALTODEXGLUCOSID-MONOMER"	"MALTODEXGLUCOSID-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // 1-4-alpha-D-Glucan // Glucopyranose	1-4-alpha-D-Glucan // WATER	1-4-alpha-D-Glucan // Glucopyranose	"1-4-alpha-D-Glucan" // "WATER"	"1-4-alpha-D-Glucan" // "Glucopyranose"
RXN0-5184	MALDEXPHOSPHORYL-CPLX	"MALDEXPHOSPHORYL-CPLX"	"RXN0-5184"	PHYSIOL-LEFT-TO-RIGHT	Pi // 1-4-alpha-D-Glucan // GLC-1-P	1-4-alpha-D-Glucan // Pi	1-4-alpha-D-Glucan // GLC-1-P	"1-4-alpha-D-Glucan" // "Pi"	"1-4-alpha-D-Glucan" // "GLC-1-P"
RXN-9983	""	""	"RXN-9983"	REVERSIBLE	4-OXALOMESACONATE // CPD-12849	4-OXALOMESACONATE	CPD-12849	"4-OXALOMESACONATE"	"CPD-12849"
O-SUCCINYLBENZOATE-COA-SYN-RXN	O-SUCCINYLBENZOATE-COA-SYN-MONOMER	"O-SUCCINYLBENZOATE-COA-SYN-MONOMER"	"O-SUCCINYLBENZOATE-COA-SYN-RXN"	LEFT-TO-RIGHT	CPD-9923 // O-SUCCINYLBENZOATE // WATER	CPD-9923	O-SUCCINYLBENZOATE // WATER	"CPD-9923"	"O-SUCCINYLBENZOATE" // "WATER"
RXN0-2381	TRYPSYN-APROTEIN // TRYPSYN	"TRYPSYN-APROTEIN" // "TRYPSYN"	"RXN0-2381"	REVERSIBLE	INDOLE-3-GLYCEROL-P // INDOLE // GAP	INDOLE-3-GLYCEROL-P	INDOLE // GAP	"INDOLE-3-GLYCEROL-P"	"INDOLE" // "GAP"
TRYPSYN-RXN	TRYPSYN	"TRYPSYN"	"TRYPSYN-RXN"	LEFT-TO-RIGHT	SER // INDOLE-3-GLYCEROL-P // TRP // WATER // GAP	INDOLE-3-GLYCEROL-P // SER	TRP // WATER // GAP	"INDOLE-3-GLYCEROL-P" // "SER"	"TRP" // "WATER" // "GAP"
RXN-13747	""	""	"RXN-13747"	LEFT-TO-RIGHT	CPD-185 // CPD-12849	CPD-185	CPD-12849	"CPD-185"	"CPD-12849"
RXN-14479	EG10299-MONOMER	"EG10299-MONOMER"	"RXN-14479"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-15358 // N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	CPD-15358 // WATER	N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	"CPD-15358" // "WATER"	"N-23-DIHYDROXYBENZOYL-L-SERINE" // "PROTON"
RXN0-6944	""	""	"RXN0-6944"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD0-2483 // N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	CPD0-2483 // WATER	N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	"CPD0-2483" // "WATER"	"N-23-DIHYDROXYBENZOYL-L-SERINE" // "PROTON"
RXN-14478	EG10299-MONOMER	"EG10299-MONOMER"	"RXN-14478"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD0-2483 // CPD-15358 // N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	CPD0-2483 // WATER	CPD-15358 // N-23-DIHYDROXYBENZOYL-L-SERINE // PROTON	"CPD0-2483" // "WATER"	"CPD-15358" // "N-23-DIHYDROXYBENZOYL-L-SERINE" // "PROTON"
RXN-17962	EG10724-MONOMER	"EG10724-MONOMER"	"RXN-17962"	PHYSIOL-LEFT-TO-RIGHT	ACETYL-COA // CPD-1106 // CPD-19243 // CO-A // PROTON	CPD-1106 // ACETYL-COA	CPD-19243 // CO-A // PROTON	"CPD-1106" // "ACETYL-COA"	"CPD-19243" // "CO-A" // "PROTON"
RXN-7282	""	""	"RXN-7282"	REVERSIBLE	CPD-6761 // OXOPENTENOATE	CPD-6761	OXOPENTENOATE	"CPD-6761"	"OXOPENTENOATE"
RXN-12071	PHENPRODIOLDEHYDROG-MONOMER	"PHENPRODIOLDEHYDROG-MONOMER"	"RXN-12071"	LEFT-TO-RIGHT	NAD // CPD-13034 // CPD-10796 // NADH // PROTON	CPD-13034 // NAD	CPD-10796 // NADH // PROTON	"CPD-13034" // "NAD"	"CPD-10796" // "NADH" // "PROTON"
RXN-17785	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17785"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-19163 // CPD-19159	CPD-19163 // WATER	CPD-19159	"CPD-19163" // "WATER"	"CPD-19159"
RXN-17797	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17797"	PHYSIOL-RIGHT-TO-LEFT	CPD-19151 // CPD-19150 // WATER	CPD-19151	CPD-19150 // WATER	"CPD-19151"	"CPD-19150" // "WATER"
RXN0-5391	FADB-CPLX	"FADB-CPLX"	"RXN0-5391"	REVERSIBLE	CPD0-1162 // CPD0-1158	CPD0-1162	CPD0-1158	"CPD0-1162"	"CPD0-1158"
RXN0-5393	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN0-5393"	RIGHT-TO-LEFT	CPD0-1163 // CPD0-1162 // WATER	CPD0-1163	CPD0-1162 // WATER	"CPD0-1163"	"CPD0-1162" // "WATER"
RXN-8992	CPLX0-7426	"CPLX0-7426"	"RXN-8992"	LEFT-TO-RIGHT	DELTA3-ISOPENTENYL-PP // FARNESYL-PP // OCTAPRENYL-DIPHOSPHATE // PPI	FARNESYL-PP // DELTA3-ISOPENTENYL-PP	OCTAPRENYL-DIPHOSPHATE // PPI	"FARNESYL-PP" // "DELTA3-ISOPENTENYL-PP"	"OCTAPRENYL-DIPHOSPHATE" // "PPI"
RXN-8999	UPPSYN-CPLX	"UPPSYN-CPLX"	"RXN-8999"	LEFT-TO-RIGHT	DELTA3-ISOPENTENYL-PP // FARNESYL-PP // UNDECAPRENYL-DIPHOSPHATE // PPI	FARNESYL-PP // DELTA3-ISOPENTENYL-PP	UNDECAPRENYL-DIPHOSPHATE // PPI	"FARNESYL-PP" // "DELTA3-ISOPENTENYL-PP"	"UNDECAPRENYL-DIPHOSPHATE" // "PPI"
RXN-11776	EG11665-MONOMER	"EG11665-MONOMER"	"RXN-11776"	PHYSIOL-LEFT-TO-RIGHT	WATER // FARNESYL-PP // PROTON // CPD-12587 // Pi	FARNESYL-PP // WATER	PROTON // CPD-12587 // Pi	"FARNESYL-PP" // "WATER"	"PROTON" // "CPD-12587" // "Pi"
RXN-17780	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17780"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-19170 // CPD-19168	CPD-19170 // WATER	CPD-19168	"CPD-19170" // "WATER"	"CPD-19168"
RXN-17793	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17793"	PHYSIOL-RIGHT-TO-LEFT	CPD-19154 // CPD-19161 // WATER	CPD-19154	CPD-19161 // WATER	"CPD-19154"	"CPD-19161" // "WATER"
RXN-17789	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17789"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-19162 // CPD-19155	CPD-19162 // WATER	CPD-19155	"CPD-19162" // "WATER"	"CPD-19155"
RXN-17776	G7212-MONOMER // FADB-CPLX	"G7212-MONOMER" // "FADB-CPLX"	"RXN-17776"	PHYSIOL-RIGHT-TO-LEFT	CPD-19171 // CPD-19172 // WATER	CPD-19171	CPD-19172 // WATER	"CPD-19171"	"CPD-19172" // "WATER"
