Gene ID	Gene
b2836	aas
b4015	aceA
b4014	aceB
b0114	aceE
b0115	aceF
b2296	ackA
b1276	acnA
b0118	acnB
b3475	acpT
b3265	acrE
b3266	acrF
b4069	acs
b4067	actP
b1623	add
b3665	ade
b1241	adhE
b1478	adhP
b4117	adiA
b4115	adiC
b1002	agp
b1415	aldA
b3588	aldB
b0505	allA
b0512	allB
b0516	allC
b0517	allD
b4053	alr
b4087	alsA
b4088	alsB
b4086	alsC
b4085	alsE
b2435	amiA
b4169	amiB
b2817	amiC
b1982	amn
b0433	ampG
b0451	amtB
b1927	amyA
b1767	ansA
b2957	ansB
b1453	ansP
b0049	apaH
b4055	aphA
b0980	appA
b0979	appB
b0978	appC
b0469	apt
b0875	aqpZ
b2841	araE
b1901	araF
b1900	araG
b4460	araH
b2818	argA
b3959	argB
b3958	argC
b3359	argD
b3957	argE
b0273	argF
b3172	argG
b3960	argH
b4254	argI
b2923	argO
b2310	argT
b2257	arnT
b0908	aroA
b3389	aroB
b2329	aroC
b1693	aroD
b3281	aroE
b2601	aroF
b0754	aroG
b1704	aroH
b3390	aroK
b0388	aroL
b0112	aroP
b3502	arsB
b3503	arsC
b0863	artI
b0860	artJ
b0861	artM
b0864	artP
b0862	artQ
b3744	asnA
b0674	asnB
b4139	aspA
b0928	aspC
b1747	astA
b1745	astB
b1748	astC
b1746	astD
b1744	astE
b2222	atoA
b2224	atoB
b2221	atoD
b2223	atoE
b3734	atpA
b3738	atpB
b3731	atpC
b3732	atpD
b3737	atpE
b3736	atpF
b3733	atpG
b3735	atpH
b3739	atpI
b3572	avtA
b3057	bacA
b2480	bcp
b0312	betB
b0314	betT
b2901	bglA
b2132	bglX
b0774	bioA
b0775	bioB
b0778	bioD
b0776	bioF
b3551	bisC
b0401	brnQ
b1711	btuC
b1709	btuD
b0158	btuF
b1270	btuR
b4132	cadB
b0038	caiB
b0037	caiC
b0036	caiD
b0040	caiT
b0032	carA
b0033	carB
b2201	ccmA
b2200	ccmB
b2199	ccmC
b2143	cdd
b3918	cdh
b1661	cfa
b1216	chaA
b2155	cirA
b0617	citD
b0616	citE
b0615	citF
b0613	citG
b0612	citT
b0614	citX
b0155	clcA
b1592	clcB
b2027	cld
b1249	cls
b0910	cmk
b0842	cmr
b1992	cobS
b1991	cobT
b1993	cobU
b0337	codA
b0336	codB
b0446	cof
b0484	copA
b3816	corA
b4213	cpdB
b2049	cpsB
b2048	cpsG
b0622	crcA
b2417	crr
b2810	csdA
b0123	cueO
b0575	cusA
b0574	cusB
b0572	cusC
b0573	cusF
b4208	cycA
b0734	cydB
b0887	cydD
b0340	cynS
b0339	cynT
b0341	cynX
b0432	cyoA
b0431	cyoB
b0430	cyoC
b0429	cyoD
b0428	cyoE
b2422	cysA
b2750	cysC
b2752	cysD
b3607	cysE
b3368	cysG
b2762	cysH
b2763	cysI
b2764	cysJ
b2414	cysK
b2421	cysM
b2751	cysN
b2425	cysP
b2423	cysW
b0632	dacA
b3182	dacB
b2010	dacD
b1189	dadA
b1190	dadX
b3809	dapF
b3528	dctA
b4138	dcuA
b4123	dcuB
b0621	dcuC
b2378	ddg
b0381	ddlA
b1487	ddpA
b1486	ddpB
b1485	ddpC
b1484	ddpD
b1483	ddpF
b1488	ddpX
b4382	deoA
b4383	deoB
b4381	deoC
b4384	deoD
b4042	dgkA
b4477	dgoA
b4478	dgoD
b3693	dgoK
b3691	dgoT
b0160	dgt
b1198	dhaH
b1200	dhaK
b1199	dhaL
b4136	dipZ
b3012	dkgA
b0207	dkgB
b2133	dld
b0894	dmsA
b0896	dmsC
b1489	dos
b3544	dppA
b3543	dppB
b3542	dppC
b3541	dppD
b3540	dppF
b3860	dsbA
b1185	dsbB
b2893	dsbC
b0604	dsbG
b2366	dsdA
b1533	eamA
b1850	eda
b1851	edd
b1193	emtA
b0596	entA
b0595	entB
b0593	entC
b0594	entE
b0586	entF
b2927	epd
b3546	eptB
b2441	eutB
b2440	eutC
b2458	eutI
b3005	exbD
b3093	exuT
b1095	fabF
b1091	fabH
b3846	fadB
b1805	fadD
b0221	fadE
b2344	fadL
b2097	fbaB
b4232	fbp
b2052	fcl
b4079	fdhF
b1474	fdnG
b1475	fdnH
b1476	fdnI
b3894	fdoG
b3893	fdoH
b3892	fdoI
b1385	feaB
b4291	fecA
b4290	fecB
b4289	fecC
b4288	fecD
b4287	fecE
b3409	feoB
b0584	fepA
b0592	fepB
b0588	fepC
b0590	fepD
b0589	fepG
b0585	fes
b0150	fhuA
b0153	fhuB
b0151	fhuC
b0152	fhuD
b1102	fhuE
b3915	fieF
b0805	fiu
b2895	fldB
b0904	focA
b2492	focB
b1606	folM
b2303	folX
b3924	fpr
b4154	frdA
b4153	frdB
b4152	frdC
b4151	frdD
b3844	fre
b3370	frlA
b3371	frlB
b4474	frlC
b3374	frlD
b0356	frmA
b0355	frmB
b2167	fruA
b2169	fruB
b2168	fruK
b0825	fsaA
b3946	fsaB
b2800	fucA
b2802	fucI
b2803	fucK
b2799	fucO
b2801	fucP
b1612	fumA
b4122	fumB
b1611	fumC
b2661	gabD
b2663	gabP
b2662	gabT
b3517	gadA
b1493	gadB
b1492	gadC
b0759	galE
b0757	galK
b0756	galM
b2943	galP
b0758	galT
b3128	garD
b3124	garK
b3126	garL
b3127	garP
b3125	garR
b2093	gatB
b2092	gatC
b2091	gatD
b2096	gatY
b2095	gatZ
b0124	gcd
b0507	gcl
b2904	gcvH
b2903	gcvP
b2905	gcvT
b3447	ggt
b2976	glcB
b2979	glcD
b4468	glcE
b4467	glcF
b3945	gldA
b2036	glf
b3429	glgA
b3432	glgB
b3430	glgC
b3428	glgP
b3431	glgX
b2388	glk
b3870	glnA
b0811	glnH
b0810	glnP
b0809	glnQ
b1651	gloA
b0212	gloB
b2241	glpA
b2242	glpB
b2243	glpC
b3426	glpD
b3425	glpE
b3927	glpF
b3926	glpK
b2239	glpQ
b2240	glpT
b3925	glpX
b0720	gltA
b3212	gltB
b3213	gltD
b0655	gltI
b0654	gltJ
b0653	gltK
b0652	gltL
b4077	gltP
b3653	gltS
b0514	glxK
b0509	glxR
b2551	glyA
b2053	gmd
b0200	gmhB
b2029	gnd
b3437	gntK
b4321	gntP
b3415	gntT
b4476	gntU
b3500	gor
b3385	gph
b3612	gpmI
b3779	gpp
b0238	gpt
b0849	grxA
b1064	grxB
b3610	grxC
b2688	gshA
b2947	gshB
b0477	gsk
b2988	gss
b2507	guaA
b2508	guaB
b0104	guaC
b2883	guaD
b2787	gudD
b2789	gudP
b2788	gudX
b2708	gutQ
b2541	hcaB
b2540	hcaC
b2542	hcaD
b2538	hcaE
b2539	hcaF
b2536	hcaT
b2436	hemF
b3867	hemN
b3803	hemX
b2024	hisA
b2022	hisB
b2021	hisC
b2020	hisD
b2025	hisF
b2019	hisG
b2023	hisH
b2026	hisI
b2309	hisJ
b2307	hisM
b2306	hisP
b2308	hisQ
b2552	hmp
b0125	hpt
b0650	hscC
b0972	hyaA
b0973	hyaB
b0974	hyaC
b2994	hybC
b2997	hybO
b2724	hycB
b2723	hycC
b2722	hycD
b2721	hycE
b2720	hycF
b2719	hycG
b2481	hyfA
b2482	hyfB
b2483	hyfC
b2484	hyfD
b2485	hyfE
b2486	hyfF
b2487	hyfG
b2488	hyfH
b2489	hyfI
b2490	hyfJ
b0508	hyi
b0828	iaaA
b1136	icd
b2889	idi
b4267	idnD
b4268	idnK
b4266	idnO
b4265	idnT
b3772	ilvA
b3671	ilvB
b3774	ilvC
b3771	ilvD
b3770	ilvE
b0078	ilvH
b0077	ilvI
b3670	ilvN
