EntryID	PubMedID	Organism	UniprotID	Enzymename	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	ReactionEquation
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	rate const.		0.016		0.004	s^(-1)	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	rate const.		0.79		0.01	s^(-1)	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	Km	7,8-Diaminononanoate	1.0E-6		1.0E-7	M	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	Km	S-Adenosyl-L-methionine	3.0E-4		5.0E-5	M	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	Enzyme	1.0E-6	2.0E-6		M	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	S-Adenosyl-L-methionine	5.0E-5	0.002		M	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
44	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	7,8-Diaminononanoate	5.0E-6	7.5E-5		M	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate = 7,8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	rate const.		0.016		0.002	s^(-1)	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	S-Adenosylmethioninamine	5.0E-5	0.002		M	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	Km	S-Adenosylmethioninamine	7.5E-4		1.9E-4	M	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	7,8-Diaminononanoate	5.0E-6	7.5E-5		M	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	rate const.		0.79		0.01	s^(-1)	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	concentration	Enzyme	1.0E-6	2.0E-6		M	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
51	14756557	Escherichia coli	P12995	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1.62	Km	7,8-Diaminononanoate	1.0E-6		1.0E-7	M	8-Amino-7-oxononanoate + S-Adenosylmethioninamine = 7,8-Diaminononanoate + S-Adenosyl-3-methylthiopropanal
55	15195997	Escherichia coli	P00803	signal peptidase I	3.4.21.89	kcat/Km	Peptide	46.1666667			M^(-1)*s^(-1)	H2O + Peptide = Peptide + Peptide
55	15195997	Escherichia coli	P00803	signal peptidase I	3.4.21.89	Km	Peptide	5.2E-4			M	H2O + Peptide = Peptide + Peptide
55	15195997	Escherichia coli	P00803	signal peptidase I	3.4.21.89	concentration	Enzyme	1.69E-6			M	H2O + Peptide = Peptide + Peptide
55	15195997	Escherichia coli	P00803	signal peptidase I	3.4.21.89	concentration	Peptide	4.0E-5	8.0E-4		M	H2O + Peptide = Peptide + Peptide
55	15195997	Escherichia coli	P00803	signal peptidase I	3.4.21.89	kcat		0.024			s^(-1)	H2O + Peptide = Peptide + Peptide
100	15740745	Escherichia coli	P0ABQ4	dihydrofolate reductase	1.5.1.3	concentration	Dihydrofolate	0.0	5.0E-5		M	5,6,7,8-Tetrahydrofolate + NADP+ = H+ + Dihydrofolate + NADPH
100	15740745	Escherichia coli	P0ABQ4	dihydrofolate reductase	1.5.1.3	Km	Dihydrofolate	8.9E-7			M	5,6,7,8-Tetrahydrofolate + NADP+ = H+ + Dihydrofolate + NADPH
