division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
4.441666666666666430e+01	7.480307826631931167e-01	0.000000000000000000e+00	7.695318227593875848e-01	4.536996773791393870e-05	4.021248867638744287e+02	7.821895264999914161e+02
8.900000000000000000e+01	6.928210095748315034e-01	3.869472731664058809e-319	7.497041002967669288e-01	9.130444355884932348e-05	4.021248867638744287e+02	7.820965192935448158e+02
9.629999999999999716e+01	6.867233096536538017e-01	2.321820373442581913e-311	7.588534137741642649e-01	6.666014041318498752e-05	4.021248867638744287e+02	7.820908889967224695e+02
9.054999999999999716e+01	6.869810325811760432e-01	1.098935758922532213e-311	5.373472023161078859e-01	1.200289916002212146e-02	4.021248867638744287e+02	7.821190437976890735e+02
1.014666666666666686e+02	6.592900536978828496e-01	1.279107476071476251e-278	7.297042107345127482e-01	1.738661698364925854e-04	4.021248867638744287e+02	7.821094850399963434e+02
1.160000000000000000e+02	6.638701848409557238e-01	7.632139379729255842e-284	7.050752332573650971e-01	3.576192893572264315e-04	4.021248867638744287e+02	7.820844666637740374e+02
8.786666666666666003e+01	6.773370950947777969e-01	9.336055051257615669e-300	6.155862847372903790e-01	2.971514610763244420e-03	4.021248867638744287e+02	7.820934457396231210e+02
7.976666666666666572e+01	6.879970434508105859e-01	5.714656330203129851e-313	8.193756752357190809e-01	5.525434260092921044e-06	4.021248867638744287e+02	7.821346873349370981e+02
8.636666666666666003e+01	6.833159417574773409e-01	4.256902477429881314e-307	7.032295473050995671e-01	3.763991199129454847e-04	4.021248867638744287e+02	7.820830084029948921e+02
9.053333333333333144e+01	6.816782964964493985e-01	4.543253993758864434e-305	7.496650778412375926e-01	9.142445488109821300e-05	4.021248867638744287e+02	7.821162653649821550e+02
9.943333333333333712e+01	6.671717820878828586e-01	1.145009523414460064e-287	7.269981756495826897e-01	1.888959728917564821e-04	4.021248867638744287e+02	7.821148591033334014e+02
7.700000000000000000e+01	6.948617417752721570e-01	8.744961931390063832e-322	7.791813653942033513e-01	3.148369663829274356e-05	4.021248867638744287e+02	7.821300316740844210e+02
8.315000000000000568e+01	6.784837668367109664e-01	3.765223511762683407e-301	7.876538977567916211e-01	2.250176786938912999e-05	4.021248867638744287e+02	7.821510086661244259e+02
8.729999999999999716e+01	6.923138147899198236e-01	1.745993407807756400e-318	7.953349606699969820e-01	1.637783364482496752e-05	4.021248867638744287e+02	7.821206526040318749e+02
8.388333333333333997e+01	6.830613286431266307e-01	8.816919415753598367e-307	8.296271563488090139e-01	3.309537737907496936e-06	4.021248867638744287e+02	7.821146188456875734e+02
8.779999999999999716e+01	6.784671980553127479e-01	3.944428231827941594e-301	7.812958141224557451e-01	2.899178430853373517e-05	4.021248867638744287e+02	7.820936971987061952e+02
9.915000000000000568e+01	6.613089411415914443e-01	6.538439401502584191e-281	7.935059302638127754e-01	1.768574982535779406e-05	4.021248867638744287e+02	7.821143817719350864e+02
1.103166666666666629e+02	6.603469519112253883e-01	8.119944626409893684e-280	7.188691772092956622e-01	2.409606333621061938e-04	4.021248867638744287e+02	7.821387459025213502e+02
8.154999999999999716e+01	6.706515618425186176e-01	9.439269569514968673e-292	8.355641676880128932e-01	2.421527336033595527e-06	4.021248867638744287e+02	7.821300345173801816e+02
1.037999999999999972e+02	6.543051128029537811e-01	4.890011880118568274e-273	7.393407646374965392e-01	1.283862816075212107e-04	4.021248867638744287e+02	7.821204250775035689e+02
8.415000000000000568e+01	6.846726926839757921e-01	8.680889764675383325e-309	7.841965155918797503e-01	2.585312495234150818e-05	4.021248867638744287e+02	7.821122838646112996e+02
9.286666666666666003e+01	6.733707557282254674e-01	5.554570636512877769e-295	7.464620149419485262e-01	1.017523044950217372e-04	4.021248867638744287e+02	7.820923796855763612e+02
1.112333333333333343e+02	6.693844579318977139e-01	2.940734038757650536e-290	6.085130016743519610e-01	3.421021566025384333e-03	4.021248867638744287e+02	7.821007894612826021e+02
9.695000000000000284e+01	6.691418541288164379e-01	5.669756734694021049e-290	7.497083892142675232e-01	9.129126154967357896e-05	4.021248867638744287e+02	7.821336502762819691e+02
9.151666666666666572e+01	6.622233894128578546e-01	5.911410573865599737e-282	7.956501085433487219e-01	1.616120789267261340e-05	4.021248867638744287e+02	7.821168171588738005e+02
9.315000000000000568e+01	6.674255338590753261e-01	5.792690137614208872e-288	7.332158186031751956e-01	1.559053613151216943e-04	4.021248867638744287e+02	7.823840713527411026e+02
1.020833333333333286e+02	6.729543137333515723e-01	1.744263516932765385e-294	8.179800585123110368e-01	5.910186306695139457e-06	4.021248867638744287e+02	7.821313835279486284e+02
9.716666666666667140e+01	6.734200103106644519e-01	4.850856858764904980e-295	7.963802319360997473e-01	1.566890836114085922e-05	4.021248867638744287e+02	7.820858809046378610e+02
1.065833333333333286e+02	6.599261892962455800e-01	2.436780539009497891e-279	8.246907768534369465e-01	4.253289745657009542e-06	4.021248867638744287e+02	7.821122946065511314e+02
1.037666666666666657e+02	6.781980334470649741e-01	8.391571019397012884e-301	7.933378452337467301e-01	1.781038833519742762e-05	4.021248867638744287e+02	7.823098548153304819e+02
1.000499999999999972e+02	6.671959543425020067e-01	1.073079024980897046e-287	7.184134953697118853e-01	2.442119250563650422e-04	4.021248867638744287e+02	7.821200868666373935e+02
9.421666666666666856e+01	6.753324258463246910e-01	2.469803310993661989e-297	8.249934338585541704e-01	4.189297680215708706e-06	4.021248867638744287e+02	7.821209637821696106e+02
9.379999999999999716e+01	6.931883135689702602e-01	1.296872913768688054e-319	7.108270218332009005e-01	3.041495202122880461e-04	4.021248867638744287e+02	7.821327346911077711e+02
8.895000000000000284e+01	6.848418455633206170e-01	5.335171622757811444e-309	7.746634655442855566e-01	3.743956319373985237e-05	4.021248867638744287e+02	7.821607172030112451e+02
9.159999999999999432e+01	6.661459490268304418e-01	1.787187117695136436e-286	7.263901952172100440e-01	1.924224821490099348e-04	4.021248867638744287e+02	7.821172937882413407e+02
1.077500000000000000e+02	6.725810749874613359e-01	4.856508218841756842e-294	7.433767285856768270e-01	1.126382502799334304e-04	4.021248867638744287e+02	7.820851272758932282e+02
1.037166666666666686e+02	6.681489165855142298e-01	8.272766119695094936e-289	7.449917887159289709e-01	1.068206711025651047e-04	4.021248867638744287e+02	7.821378924370947061e+02
9.153333333333333144e+01	6.779642119973585679e-01	1.615723901632667669e-300	8.210615211543662584e-01	5.090039381950761443e-06	4.021248867638744287e+02	7.821371504015296523e+02
9.768333333333333712e+01	6.838861309567141333e-01	8.312970235243605597e-308	7.382594346514195216e-01	1.329149389368683139e-04	4.021248867638744287e+02	7.820993793257975994e+02
8.873333333333333428e+01	6.711381700869261113e-01	2.508440564296344805e-292	7.604889991040076902e-01	6.292477131635671427e-05	4.021248867638744287e+02	7.821059739895281382e+02
8.690000000000000568e+01	6.704413130337542048e-01	1.672128251975452763e-291	7.427372484040147826e-01	1.150161769761357975e-04	4.021248867638744287e+02	7.820827923991696480e+02
1.221166666666666600e+02	6.754413067223250522e-01	1.826340495021932694e-297	7.514039831597898456e-01	8.620698867310485898e-05	4.021248867638744287e+02	7.823725318975432401e+02
