division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
4.441666666666666430e+01	7.480307826631931167e-01	0.000000000000000000e+00	7.695318227593875848e-01	4.536996773791393870e-05	4.021248867638744287e+02	7.821895264999914161e+02
4.761666666666666714e+01	7.480620903656722831e-01	0.000000000000000000e+00	7.584534239316279569e-01	6.760232999079682128e-05	4.021248867638744287e+02	7.822357658553257806e+02
1.170499999999999972e+02	7.462893688904106426e-01	0.000000000000000000e+00	2.991611489240705302e-01	1.877061138946533869e-01	4.021248867638744287e+02	7.821265449149884716e+02
5.616666666666666430e+01	7.492465883900946144e-01	0.000000000000000000e+00	7.376784189489480337e-01	1.354046712059595124e-04	4.021248867638744287e+02	7.822005896292423586e+02
4.650000000000000000e+01	7.482238537056956629e-01	0.000000000000000000e+00	7.773495317836133234e-01	3.379099358575192262e-05	4.021248867638744287e+02	7.822018948574448132e+02
5.613333333333333286e+01	7.464403276515240160e-01	0.000000000000000000e+00	7.077696684349032985e-01	3.316467235438218643e-04	4.021248867638744287e+02	7.820840141824130569e+02
5.483333333333333570e+01	7.490813019417310592e-01	0.000000000000000000e+00	8.240847325963485126e-01	4.384006671131577285e-06	4.021248867638744287e+02	7.820857098221692922e+02
4.728333333333333144e+01	7.489898751942477562e-01	0.000000000000000000e+00	7.788060300509457301e-01	3.194496011751014506e-05	4.021248867638744287e+02	7.821746979243187070e+02
5.066666666666666430e+01	7.496208969426556568e-01	0.000000000000000000e+00	8.043931739915658463e-01	1.106602759777362024e-05	4.021248867638744287e+02	7.820913820117693831e+02
5.868333333333333002e+01	7.427906389682242816e-01	0.000000000000000000e+00	7.736302138184045774e-01	3.893154159559080048e-05	4.021248867638744287e+02	7.820868165554102234e+02
4.426666666666666572e+01	7.474377246575473199e-01	0.000000000000000000e+00	6.399365952394268087e-01	1.782352228751789280e-03	4.021248867638744287e+02	7.820805846796085916e+02
4.623333333333333428e+01	7.485849375373916370e-01	0.000000000000000000e+00	7.822138276151783254e-01	2.796446294384331323e-05	4.021248867638744287e+02	7.821564182138320120e+02
4.638333333333333286e+01	7.443747090490423490e-01	0.000000000000000000e+00	7.924611134916790256e-01	1.847299069420892524e-05	4.021248867638744287e+02	7.820858835829285454e+02
4.441666666666666430e+01	7.480307826631931167e-01	0.000000000000000000e+00	7.730629881403645598e-01	3.977233841579519500e-05	4.021248867638744287e+02	7.821895264999914161e+02
