division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
4.441666666666666430e+01	7.480307826631931167e-01	0.000000000000000000e+00	7.695318227593875848e-01	4.536996773791393870e-05	4.021248867638744287e+02	7.821895264999914161e+02
1.800000000000000000e+02	7.352615532197981363e-01	0.000000000000000000e+00	6.572517098916006439e-01	1.206320919582557329e-03	4.021248867638744287e+02	5.170520321977091953e+02
1.800000000000000000e+02	7.369010268430463695e-01	0.000000000000000000e+00	4.144111542570277917e-01	6.179310570689953985e-02	4.021248867638744287e+02	4.037275287920946312e+02
4.875000000000000000e+01	7.486469455722504218e-01	0.000000000000000000e+00	8.415903216521115615e-01	1.741164686347103686e-06	4.021248867638744287e+02	7.822031627073970412e+02
4.760000000000000142e+01	7.470228909010422358e-01	0.000000000000000000e+00	6.898574796247202157e-01	5.394516160185617182e-04	4.021248867638744287e+02	7.821883410353602812e+02
1.800000000000000000e+02	7.392679063216331947e-01	0.000000000000000000e+00	6.841987737772105005e-01	6.247397382743632164e-04	4.021248867638744287e+02	6.906851277448106430e+02
4.673333333333333428e+01	7.468121979577090341e-01	0.000000000000000000e+00	7.989309207568586757e-01	1.405014974961685545e-05	4.021248867638744287e+02	7.822301366216925089e+02
1.800000000000000000e+02	7.347435995382154417e-01	0.000000000000000000e+00	4.027954575502423196e-01	7.023470743352235035e-02	4.021248867638744287e+02	4.104730676364833926e+02
4.751666666666666572e+01	7.479337215934901417e-01	0.000000000000000000e+00	7.624007834577306575e-01	5.878965394517390674e-05	4.021248867638744287e+02	7.820906417752407833e+02
1.718833333333333258e+02	7.388599065783926223e-01	0.000000000000000000e+00	5.380830792257957906e-01	1.186403546299535927e-02	4.021248867638744287e+02	7.820854360644618737e+02
8.083333333333333925e+00	7.488513782958865495e-01	0.000000000000000000e+00	8.787488690916264722e-02	7.048592276587698491e-01	4.021248867638744287e+02	3.798858297776666859e+02
nan	nan	nan	nan	nan	nan	nan
1.800000000000000000e+02	7.343066008730774197e-01	0.000000000000000000e+00	6.791434697584500801e-01	7.103989873675004745e-04	4.021248867638744287e+02	4.374899408964153054e+02
1.800000000000000000e+02	7.391454853496784994e-01	0.000000000000000000e+00	4.703212745139495610e-01	3.142942225168962600e-02	4.021248867638744287e+02	6.883126388217688145e+02
8.104999999999999716e+01	7.496429284526821002e-01	0.000000000000000000e+00	7.266092261912603378e-01	1.911455504524438125e-04	4.021248867638744287e+02	7.820955559658084439e+02
1.800000000000000000e+02	7.386397624932241612e-01	0.000000000000000000e+00	4.863297097150610648e-01	2.538647575425179159e-02	4.021248867638744287e+02	6.877360771623568780e+02
1.800000000000000000e+02	7.392841201196233003e-01	0.000000000000000000e+00	2.383384400825026561e-01	2.981473899324216803e-01	4.021248867638744287e+02	6.713080097020595076e+02
1.800000000000000000e+02	7.385343356377339630e-01	0.000000000000000000e+00	5.094036060645862340e-01	1.833844990584327858e-02	4.021248867638744287e+02	6.777584092320098534e+02
4.438333333333333286e+01	7.492378189440033198e-01	0.000000000000000000e+00	8.245815855407121475e-01	4.276585773847136934e-06	4.021248867638744287e+02	7.820876012151497889e+02
4.836666666666666714e+01	7.316697129473505035e-01	0.000000000000000000e+00	7.793149815631897903e-01	3.132089397394960726e-05	4.021248867638744287e+02	6.534628090082062499e+02
4.775000000000000000e+01	7.459674578292830871e-01	0.000000000000000000e+00	7.866918304271576234e-01	2.339399079898707274e-05	4.021248867638744287e+02	7.822006076827258312e+02
1.800000000000000000e+02	7.391840519196464232e-01	0.000000000000000000e+00	5.409822530453841649e-01	1.132960167667558700e-02	4.021248867638744287e+02	6.771578105252224304e+02
1.800000000000000000e+02	7.416034074602656512e-01	0.000000000000000000e+00	6.795300888138928741e-01	7.035128063935078453e-04	4.021248867638744287e+02	7.499055774040552933e+02
2.281666666666666643e+01	7.476094421190015993e-01	0.000000000000000000e+00	7.518412030797745338e-01	8.493640035823117422e-05	4.021248867638744287e+02	4.210167893392847418e+02
7.266666666666666607e+00	7.461534374824358995e-01	0.000000000000000000e+00	6.081986013637047384e-01	3.442249902778623648e-03	4.021248867638744287e+02	4.097377324606951561e+02
4.845000000000000284e+01	7.309421555685281513e-01	0.000000000000000000e+00	7.276223538824273529e-01	1.853335090357891425e-04	4.021248867638744287e+02	6.158768006268221598e+02
4.406666666666666998e+01	7.476470474906609098e-01	0.000000000000000000e+00	7.529723894282751573e-01	8.172398196308817064e-05	4.021248867638744287e+02	7.820911686462493435e+02
6.131666666666666998e+01	7.443735234121158229e-01	0.000000000000000000e+00	7.682795994073544632e-01	4.751290487705212831e-05	4.021248867638744287e+02	7.820810467555329524e+02
1.800000000000000000e+02	7.361042134914711488e-01	0.000000000000000000e+00	7.620406463848000689e-01	5.955009668451748583e-05	4.021248867638744287e+02	4.064829931943189649e+02
6.425000000000000000e+01	7.469458683219238893e-01	0.000000000000000000e+00	7.805322149228264283e-01	2.987115105607848935e-05	4.021248867638744287e+02	7.821323142920259670e+02
1.800000000000000000e+02	7.393782079841226818e-01	0.000000000000000000e+00	5.403330152026154520e-01	1.144754472155993727e-02	4.021248867638744287e+02	6.915090439329219407e+02
1.800000000000000000e+02	7.385433774179613886e-01	0.000000000000000000e+00	4.946229137911526408e-01	2.264115978976409538e-02	4.021248867638744287e+02	6.364927790199831179e+02
