PMID	Year Published	Parameters Used	Process
9387	1976	2	metabolism
346589	1978	1	metabolism
357906	1978	2	metabolism
374409	1979	1	metabolism
1092682	1975	2	metabolism
1099093	1975	1	metabolism
1329945	1992	2	metabolism
1544480	1992	4	metabolism
1644758	1992	2	metabolism
1906883	1991	1	metabolism
1924337	1991	1	metabolism
1993184	1991	2	metabolism
2007545	1991	1	metabolism
2111176	1990	4	metabolism
2126467	1991	1	metabolism
2139795	1990	2	metabolism
2144454	1990	1	metabolism
2187529	1990	1	metabolism
2494074	1989	1	metabolism
2514789	1990	1	metabolism
2531000	1990	4	metabolism
2549047	1989	2	metabolism
2557837	1990	1	metabolism
2651124	1989	2	metabolism
2659070	1989	3	metabolism
2689171	1990	1	metabolism
2826481	1988	2	metabolism
2986688	1985	1	metabolism
3003503	1986	3	metabolism
4150390	1974	2	metabolism
6142052	1984	4	metabolism
6300054	1983	6	metabolism
6378903	1984	1	metabolism
6395895	1985	4	metabolism
6792201	1981	2	metabolism
7696318	1995	1	metabolism
7727400	1995	1	metabolism
7751290	1995	2	metabolism
7775463	1995	3	metabolism
7860596	1995	1	metabolism
7873670	1995	2	metabolism
7907888	1994	1	metabolism
7918446	1994	3	metabolism
8065908	1994	5	metabolism
8083170	1994	3	metabolism
8203917	1994	2	metabolism
8218300	1993	3	metabolism
8394006	1993	1	metabolism
8422384	1993	3	metabolism
8550422	1996	1	metabolism
8555191	1996	4	metabolism
8672449	1996	3	metabolism
8689233	1996	1	metabolism
8706750	1996	5	metabolism
8706854	1996	3	metabolism
8831972	1997	2	metabolism
8969520	1997	1	metabolism
8973190	1997	2	metabolism
8976565	1997	3	metabolism
9003442	1997	2	metabolism
9015391	1997	1	metabolism
9056491	1997	2	metabolism
9100006	1997	4	metabolism
9211277	1997	2	metabolism
9211333	1997	2	metabolism
9266856	1997	4	metabolism
9391059	1998	1	metabolism
9398312	1998	1	metabolism
9442062	1998	1	metabolism
9492273	1998	1	metabolism
9548961	1998	1	metabolism
9581571	1998	1	metabolism
9607323	1998	1	metabolism
9610360	1998	1	metabolism
9657697	1998	4	metabolism
9748544	1998	3	metabolism
9772162	1998	5	metabolism
9878448	1999	2	metabolism
9927652	1999	2	metabolism
10026151	1999	2	metabolism
10074354	1999	1	metabolism
10225425	1999	1	metabolism
10231382	1999	1	metabolism
10353839	1999	4	metabolism
10387054	1999	2	metabolism
10406936	1999	2	metabolism
10480918	1999	2	metabolism
10529181	1999	1	metabolism
10542272	1999	1	metabolism
10642176	2000	2	metabolism
10757968	2000	1	metabolism
10769117	2000	5	metabolism
10769128	2000	1	metabolism
10820011	2000	1	metabolism
10821675	2000	1	metabolism
10828971	2000	1	metabolism
10831428	2000	3	metabolism
10989422	2000	12	metabolism
11084021	2001	1	metabolism
11094340	2000	1	metabolism
11106175	2001	2	metabolism
11237876	2001	4	metabolism
11342129	2001	1	metabolism
11380254	2001	1	metabolism
11488932	2001	4	metabolism
11515538	2001	1	metabolism
11527960	2001	1	metabolism
11604533	2001	1	metabolism
11686925	2001	1	metabolism
11724562	2001	2	metabolism
11736651	2001	2	metabolism
11741871	2001	5	metabolism
11747300	2001	2	metabolism
11747447	2001	1	metabolism
11803023	2002	2	metabolism
11814333	2002	1	metabolism
11934293	2002	1	metabolism
11967363	2002	3	metabolism
12021453	2002	2	metabolism
12097643	2002	2	metabolism
12135357	2002	3	metabolism
12356303	2002	1	metabolism
12370189	2002	2	metabolism
12383057	2003	4	metabolism
12517338	2003	1	metabolism
12535615	2003	4	metabolism
12627979	2003	3	metabolism
12637497	2003	7	metabolism
12706338	2003	6	metabolism
12711733	2003	1	metabolism
12805358	2003	2	metabolism
12824188	2003	2	metabolism
12937174	2003	2	metabolism
12975365	2003	1	metabolism
13785427	1961	1	metabolism
14556652	2004	1	metabolism
