PMID	Year Published	Parameters Used	Parameters Reported
9387	1976	2	3
346589	1978	1	2
357906	1978	2	3
368055	1979	0	4
374409	1979	1	2
374976	1979	0	3
383238	1979	0	1
764868	1976	0	4
1092682	1975	2	3
1099093	1975	1	2
1329945	1992	2	2
1338974	1993	0	2
1344882	1992	0	7
1429704	1992	0	6
1512209	1992	0	3
1521538	1992	0	2
1524432	1992	0	3
1544480	1992	4	4
1644758	1992	2	2
1769955	1992	0	4
1906883	1991	1	2
1924337	1991	1	2
1993184	1991	2	16
1998664	1991	0	6
2007545	1991	1	6
2009959	1991	0	4
2111176	1990	4	6
2126467	1991	1	2
2139795	1990	2	4
2139796	1990	0	2
2144454	1990	1	2
2164013	1990	0	6
2185839	1990	0	1
2187483	1990	0	2
2187529	1990	1	2
2189496	1990	0	4
2405903	1990	0	3
2461858	1989	0	3
2494074	1989	1	4
2514789	1990	1	2
2521622	1989	0	1
2531000	1990	4	12
2549047	1989	2	22
2557837	1990	1	2
2644268	1989	0	3
2651124	1989	2	5
2659070	1989	3	4
2659590	1989	0	2
2689171	1990	1	2
2826481	1988	2	2
2986688	1985	1	2
3003503	1986	3	4
3052577	1988	0	2
3298981	1987	0	4
3511050	1986	0	3
3553189	1987	0	6
3891721	1985	0	3
4150390	1974	2	3
4401227	1972	0	6
4550801	1972	0	3
4560497	1972	0	4
4594761	1974	0	4
4910051	1970	0	1
4975916	1969	0	5
5338129	1967	0	6
6142052	1984	4	4
6300054	1983	6	6
6378903	1984	1	4
6387369	1984	0	3
6395895	1985	4	5
6406501	1983	0	2
6792201	1981	2	2
6989402	1980	0	4
6989606	1980	0	3
7488160	1995	0	2
7575542	1995	0	3
7592843	1995	0	6
7690473	1993	0	2
7696318	1995	1	8
7703848	1995	0	2
7727400	1995	1	8
7727401	1995	0	2
7751290	1995	2	4
7756275	1995	0	11
7775463	1995	3	4
7827038	1995	0	3
7829480	1995	0	2
7837264	1995	0	2
7860596	1995	1	12
7873670	1995	2	5
7907888	1994	1	3
7918446	1994	3	3
7929415	1994	0	10
7947832	1994	0	3
