B Num,Symbol,EcoCycID,ECK Num
b3241,aaeA,G7686,ECK3230
b3241,yhcQ,G7686,ECK3230
b3240,aaeB,G7685,ECK3229
b3240,yhcP,G7685,ECK3229
b3243,aaeR,G7688,ECK3232
b3243,yhcS,G7688,ECK3232
b3243,qseA,G7688,ECK3232
b3242,aaeX,G7687,ECK3231
b3242,yhcR,G7687,ECK3231
b2836,aas,EG11679,ECK2832
b0885,aat,EG11112,ECK0876
b0885,ycaA,EG11112,ECK0876
b1338,abgA,G6670,ECK1334
b1338,ydaJ,G6670,ECK1334
b1337,abgB,G6669,ECK1333
b1337,ydaI,G6669,ECK1333
b1339,abgR,G6671,ECK1335
b1336,abgT,EG12853,ECK1332
b1336,ydaH,EG12853,ECK1332
b2628,abpA,G7363,ECK2624
b2628,yfjL,G7363,ECK2624
b2627,abpB,G7362,ECK2623
b2627,yfjK,G7362,ECK2623
b0715,abrB,G6384,ECK0704
b0715,ybgN,G6384,ECK0704
b0185,accA,EG11647,ECK0184
b3255,accB,EG10275,ECK3242
b3255,fabE,EG10275,ECK3242
b3256,accC,EG10276,ECK3243
b3256,fabG,EG10276,ECK3243
b2316,accD,EG10217,ECK2310
b2316,dedB,EG10217,ECK2310
b2316,usg,EG10217,ECK2310
b4015,aceA,EG10022,ECK4007
b4015,icl,EG10022,ECK4007
b4014,aceB,EG10023,ECK4006
b4014,mas,EG10023,ECK4006
b0114,aceE,EG10024,ECK0113
b0115,aceF,EG10025,ECK0114
b4016,aceK,EG10026,ECK4008
b2296,ackA,EG10027,ECK2290
b1276,acnA,EG11325,ECK1271
b1276,acn,EG11325,ECK1271
b0118,acnB,EG12316,ECK0117
b0118,yacJ,EG12316,ECK0117
b0118,yacI,EG12316,ECK0117
b0404,acpH,EG11095,ECK0398
b0404,yajB,EG11095,ECK0398
b1094,acpP,EG50003,ECK1080
b2563,acpS,EG10247,ECK2561
b2563,dpj,EG10247,ECK2561
b3475,acpT,EG12221,ECK3459
b3475,yhhU,EG12221,ECK3459
b0463,acrA,EG11703,ECK0457
b0463,sipB,EG11703,ECK0457
b0463,Mb,EG11703,ECK0457
b0463,lir,EG11703,ECK0457
b0463,mbl,EG11703,ECK0457
b0463,mtcA,EG11703,ECK0457
b0463,nbsA,EG11703,ECK0457
b0462,acrB,EG11704,ECK0456
b0462,acrE,EG11704,ECK0456
b2470,acrD,EG10014,ECK2465
b2470,yffA,EG10014,ECK2465
b3265,acrE,EG10266,ECK3252
b3265,envC,EG10266,ECK3252
b3266,acrF,EG10267,ECK3253
b3266,envD,EG10267,ECK3253
b0464,acrR,EG12116,ECK0458
b0464,ybaH,EG12116,ECK0458
b0762,acrZ,G6396,ECK0751
b0762,ybhT,G6396,ECK0751
b4069,acs,EG11448,ECK4062
b4069,yfaC,EG11448,ECK4062
b4069,acsA,EG11448,ECK4062
b4067,actP,EG11942,ECK4060
b4067,yjcG,EG11942,ECK4060
b2213,ada,EG10029,ECK2205
b1623,add,EG10030,ECK1618
b3665,adeD,EG11692,ECK3656
b3665,adeC(B.s.),EG11692,ECK3656
b3665,adu,EG11692,ECK3656
b3665,yicP,EG11692,ECK3656
b3665,ade,EG11692,ECK3656
b3714,adeP,EG11724,ECK3707
b3714,yieG,EG11724,ECK3707
b3714,purP,EG11724,ECK3707
b3664,adeQ,EG11691,ECK3655
b3664,yicO,EG11691,ECK3655
b1241,adhE,EG10031,ECK1235
b1241,adhC,EG10031,ECK1235
b1241,ana,EG10031,ECK1235
b1478,adhP,G6775,ECK1472
b1478,yddN,G6775,ECK1472
b4117,adiA,EG11501,ECK4110
b4117,adi,EG11501,ECK4110
b4115,adiC,EG12462,ECK4108
b4115,yjdD,EG12462,ECK4108
b4115,yjdE,EG12462,ECK4108
b4116,adiY,EG11966,ECK4109
b0474,adk,EG10032,ECK0468
b0474,dnaW,EG10032,ECK0468
b0474,plsA,EG10032,ECK0468
b2468,aegA,EG12409,ECK2463
b2468,yffG,EG12409,ECK2463
b3072,aer,G7595,ECK3062
b3072,yqjJ,G7595,ECK3062
b3072,air,G7595,ECK3062
b0476,aes,EG11101,ECK0470
b0476,ybaC,EG11101,ECK0470
b0262,afuC,EG12340,ECK0264
b0262,fbpC,EG12340,ECK0264
b0262,yagC,EG12340,ECK0264
b3135,agaA,EG12766,ECK3123
b3135,yraA,EG12766,ECK3123
b3138,agaB,EG12769,ECK3126
b3138,yraD,EG12769,ECK3126
b3139,agaC,EG12770,ECK3127
b3139,yraE,EG12770,ECK3127
b3140,agaD,G7635,ECK3128
b3140,yraF,G7635,ECK3128
b3141,agaI,G7636,ECK3129
b3141,yraG,G7636,ECK3129
b3131,agaR,G7630,ECK3119
b3131,yhaW,G7630,ECK3119
b3136,agaS,G7634,ECK3124
b3136,yraB,G7634,ECK3124
b3133,agaV,G7632,ECK3121
b3133,yhaY,G7632,ECK3121
b3134,agaW,G7633,ECK3122
b3134,yhaZ,G7633,ECK3122
b1002,agp,EG10033,ECK0993
b4712,agrA,G0-10751,ECK4569
b4713,agrB,G0-10752,ECK4570
b0605,ahpC,EG11384,ECK0599
b0605,tpx,EG11384,ECK0599
b0605,ssi8,EG11384,ECK0599
b0606,ahpF,EG11385,ECK0600
b4269,ahr,EG11436,ECK4262
b4269,yjgB,EG11436,ECK4262
b4187,aidB,EG11811,ECK4183
b2252,ais,G7165,ECK2245
b2290,alaA,G7184,ECK2284
b2290,yfbQ,G7184,ECK2284
,alaB,G0-9281,
b2379,alaC,G7242,ECK2375
b2379,yfdZ,G7242,ECK2375
b2670,alaE,G7399,ECK2664
b2670,ygaW,G7399,ECK2664
b2697,alaS,EG10034,ECK2692
b2697,act,EG10034,ECK2692
b2697,ala-act,EG10034,ECK2692
b2697,lovB,EG10034,ECK2692
b3853,alaT,EG30008,ECK3845
b3853,talA,EG30008,ECK3845
b3276,alaU,EG30009,ECK3263
b3276,talD,EG30009,ECK3263
b0203,alaV,EG30010,ECK0203
b2397,alaW,EG30011,ECK2391
b2397,alaWalpha,EG30011,ECK2391
b2396,alaX,EG30012,ECK2390
b2396,alaWbeta,EG30012,ECK2390
b1415,aldA,EG10035,ECK1408
b1415,ald,EG10035,ECK1408
b3588,aldB,EG12292,ECK3577
b3588,yiaX,EG12292,ECK3577
b2068,alkA,EG11222,ECK2062
b2068,aidA,EG11222,ECK2062
b2212,alkB,EG10037,ECK2204
b2212,aidD,EG10037,ECK2204
b0505,allA,G6275,ECK0498
b0505,glxA2,G6275,ECK0498
b0505,ybbT,G6275,ECK0498
b0512,allB,G6281,ECK0505
b0512,glxB3,G6281,ECK0505
b0512,ybbX,G6281,ECK0505
b0516,allC,G6285,ECK0509
b0516,glxB7,G6285,ECK0509
b0516,ylbB,G6285,ECK0509
b0517,allD,G6286,ECK0510
b0517,glxB8,G6286,ECK0510
b0517,ylbC,G6286,ECK0510
b0515,allE,G6284,ECK0508
b0515,glxB6,G6284,ECK0508
b0515,ylbA,G6284,ECK0508
b0515,ughY,G6284,ECK0508
b0506,allR,G6276,ECK0499
b0506,glxA3,G6276,ECK0499
b0506,ybbU,G6276,ECK0499
b0504,allS,G6274,ECK0497
b0504,ybbS,G6274,ECK0497
b0504,glxA1,G6274,ECK0497
b2624,alpA,EG12112,ECK2620
b4053,alr,EG10001,ECK4045
b4053,alr5,EG10001,ECK4045
b4087,alsA,EG11959,ECK4080
b4087,yjcW,EG11959,ECK4080
b4088,alsB,EG12458,ECK4081
b4088,yjcX,EG12458,ECK4081
b4086,alsC,EG11958,ECK4079
b4086,yjcV,EG11958,ECK4079
b4085,alsE,EG11957,ECK4078
b4085,yjcU,EG11957,ECK4078
b4084,alsK,EG11956,ECK4077
b4084,yjcT,EG11956,ECK4077
b4089,alsR,G7821,ECK4082
b4089,yjcY,G7821,ECK4082
b4089,rpiR,G7821,ECK4082
b3088,alx,G7607,ECK3079
b3088,ygjT,G7607,ECK3079
b2435,amiA,EG11823,ECK2430
b2435,yfeE,EG11823,ECK2430
b4169,amiB,EG11363,ECK4165
b4169,yjeD,EG11363,ECK4165
b2817,amiC,G7458,ECK2813
b2817,ygdN,G7458,ECK2813
b0867,amiD,G6452,ECK0858
b0867,ybjR,G6452,ECK0858
b1982,amn,EG10039,ECK1977
b4150,ampC,EG10040,ECK4146
b4150,ampA,EG10040,ECK4146
b0110,ampD,EG10041,ECK0109
