Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
EG10040	ampC	&beta;-lactamase; penicillin resistance	characterized	characterized	2.55944531801E-06	0.69	0.673	0.234	0.256	N	N	N	penicillin-binding protein; beta-lactamase, intrinsically weak	Enzyme; Drug/analog sensitivity	Penicillin-binding protein; beta-lactamase, intrinsically weak; penicillin resistance; affects morphology	Antibiotic resistance 	antibiotic catabolic process
EG10443	hipA	serine/threonine kinase HipA	characterized	characterized	3.4397939598E-06	0.78	0.755	0.23	0.155	N	N	N	inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase	Enzyme; Protein modification	Inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase	Antibiotic resistance 	dormancy process
EG10629	emrE	EmrE	characterized	characterized	5.90461459676E-06	0.91	0.701	0.349	0.371	N	N	u	DLP12 prophage; multidrug resistance protein	Transport; Drug/analog sensitivity; Phage or Prophage Related	Multidrug resistance pump, DLP12 prophage; methylviologen sensitivity	Antibiotic resistance 	choline transport
EG10658	bamC	Outer Membrane Protein Assembly Complex - BamC subunit	characterized	characterized	0.0001279574	1.00	0.695	0.387	0.429	N	N	N	BamABCDE complex OM biogenesis lipoprotein	Membrane; Macromolecule synthesis, modification: Lipoprotein	Tandem domain lipoprotein in BamABCDE OM biogenesis complex; mutant is rifampin-sensitive	Antibiotic resistance 	protein insertion into membrane
EG11343	mdtG	multidrug efflux transporter MdtG	characterized	characterized	0.00000075	0.25	0.708	0.306	0.311	N	N	N	putative drug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux transporter; overexpression resistance to fosfomycin and deoxycholate	Antibiotic resistance 	N/A
EG11354	emrA	EmrAB-TolC multidrug efflux transport system - membrane fusion protein	characterized	characterized	1.05741509896E-05	1.00	0.793	0.356	0.408	N	N	u	multidrug efflux system	Transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; periplasmic membrane fusion component, signal anchor; energy-dependent efflux of octane, thiolactomycin and the uncouplers DNP, CCCP, and FCCP	Antibiotic resistance 	N/A
EG11419	bcr	multidrug efflux transporter Bcr	characterized	characterized	8.78456239126E-06	0.94	0.717	0.443	0.491	N	N	N	bicyclomycin/cysteine/sulfonamide efflux transporter	Transport; Drug/analog sensitivity	Efflux transporter for bicyclomycin, cysteine and sulfonamides	Antibiotic resistance 	N/A
EG11439	emrB	EmrAB-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	4.90350438466E-06	0.78	0.754	0.407	0.478	N	N	u	multidrug efflux system protein	Putative transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; energy-dependent efflux of octane, thiolactomycin, and uncouplers DNP, CCCP, and FCCP; inner membrane-spanning translocase	Antibiotic resistance 	N/A
EG11599	marB	multiple antibiotic resistance protein	characterized	characterized	3.94360138165E-06	0.56	0.739	0.221	0.254	?	N	u	periplasmic mar operon regulator	Putative transport; Drug/analog sensitivity	mar operon regulator, periplasmic	Antibiotic resistance 	N/A
EG11689	nepI	purine ribonucleoside efflux transporter	characterized	characterized	2.26533315438E-06	0.44	0.701	0.179	0.151	X	N	u	putative transporter	Putative transport; Not classified	Purine ribonucleoside exporter; 6-mercaptopurine resistance	Antibiotic resistance 	purine nucleoside transmembrane transport
