	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
True	EG10629	emrE	EmrE	characterized	characterized	5.90461459676E-06	0.91	0.701	0.349	0.371	N	N	u	DLP12 prophage; multidrug resistance protein	Transport; Drug/analog sensitivity; Phage or Prophage Related	Multidrug resistance pump, DLP12 prophage; methylviologen sensitivity	Antibiotic resistance 	choline transport
True	EG11689	nepI	purine ribonucleoside efflux transporter	characterized	characterized	2.26533315438E-06	0.44	0.701	0.179	0.151	X	N	u	putative transporter	Putative transport; Not classified	Purine ribonucleoside exporter; 6-mercaptopurine resistance	Antibiotic resistance 	purine nucleoside transmembrane transport
True	EG11826	etk	autophosphorylating protein tyrosine kinase	characterized	characterized	1.49780602117E-06	0.50	0.713	0.291	0.15	N	N	N	tyrosine-protein kinase, role in O-antigen capsule formation	Null	Tyrosine-protein kinase, required for O-antigen capsule formation; autokinase; polymyxin resistance	Antibiotic resistance 	peptidyl-tyrosine autophosphorylation
True	EG11902	yijE	predicted permease	unknown	unknown	1.31555383649E-06	0.19	0.767	0.27	0.279	N	N	u	EamA-like transporter family protein	Null	EamA-like transporter family protein, function unknown	Antibiotic resistance 	N/A
True	EG12576	mdtM	multidrug efflux transporter MdtM	characterized	characterized	6.21347405073E-07	0.19	0.689	0.319	0.264	N	N	u	multidrug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression resistance to acriflavin, chloramphenicol, TPP, norfloxacin and ethidium	Antibiotic resistance 	N/A
True	EG10246	mltD	membrane-bound lytic murein transglycosylase D	characterized	characterized	0.0001462873	1.00	0.826	0.44	0.365	N	N	N	putative membrane-bound lytic murein transglycosylase D	Regulator; Energy metabolism, carbon: Anaerobic respiration	Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein	Cell structure membrane 	positive regulation of oxidoreductase activity
True	EG10855	lptE	outer membrane lipopolysaccharide transport and assembly complex - LptE subunit	characterized	characterized	9.28573025572E-05	1.00	N.A.	N.A.	N.A.	E	N	u	LPS assembly OM complex LptDE, lipoprotein component	Membrane; Macromolecule synthesis, modification: Lipoprotein	LPS assembly OM complex LptDE, LPS-binding lipoprotein component	Cell structure membrane 	lipopolysaccharide transport
True	EG11008	tolB	TolB	characterized	characterized	7.44237001061E-05	1.00	0.405	0.284	0.292	N	N	u	periplasmic protein	Factor; Colicin-related functions	Uptake of group A colicins, mutants are tolerant to colicins E1-3, A, and K	Cell structure membrane 	protein import
True	EG11009	tolC	TolC monomer	characterized	characterized	6.85352143537E-05	1.00	0.782	0.367	0.441	N	N	N	transport channel	Putative membrane; Cell division	Outer membrane factor (OMF) of tripartite efflux pumps; channel-tunnel spanning the outer membrane and periplasm; trimeric; ColE1 tolerance	Cell structure membrane 	response to organic cyclic compound
True	EG11569	lptD	outer membrane lipopolysaccharide transport and assembly complex - LptD subunit	characterized	characterized	4.87093349855E-05	1.00	N.A.	N.A.	N.A.	E	E	u	LPS assembly OM complex LptDE, beta-barrel component	Phenotype; Adaptations, atypical conditions	LPS assembly OM complex LptDE, beta-barrel component	Cell structure membrane 	lipopolysaccharide transport
True	G7107	wza	lipoprotein required for capsular polysaccharide translocation through the outer membrane	characterized	characterized	2.9189612596E-07	0.13	0.848	0.2	0.23	N	N	N	colanic acid export protein; outer membrane auxillary lipoprotein	Transport; Not classified	Colanic acid export channel lipoprotein; outer membrane auxillary protein	Cell structure membrane 	capsule polysaccharide biosynthetic process
True	EG50006	eutB	ethanolamine ammonia-lyase	characterized	characterized	2.38789448845E-05	1.00	0.721	0.341	0.476	N	u	N	ethanolamine ammonia-lyase, large subunit, heavy chain	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, large subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
True	EG50007	eutC	ethanolamine ammonia-lyase	characterized	characterized	4.61361725881E-06	0.84	0.776	0.333	0.355	N	u	N	ethanolamine ammonia-lyase, small subunit (light chain)	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, small subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
True	EG10148	cheR	chemotaxis protein methyltransferase	characterized	characterized	5.09685847132E-05	1.00	0.707	0.316	0.446	E	N	N	chemotaxis regulator, protein-glutamate methyltransferase	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters	Chemotaxis 	N/A
True	G6344	citC	citrate lyase synthetase	characterized	characterized	1.62167311959E-07	0.09	0.76	0.446	0.452	N	u	u	citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Covalent modification regulation 	N/A
True	G7836	epmB	lysine 2,3-aminomutase	characterized	characterized	1.94255448111E-05	1.00	0.774	0.242	0.313	?	u	N	EF-P-Lys34 lysylation protein; weak lysine 2,3-aminomutase	Enzyme; Protein modification	Required for lysylation of EF-P Lys34; weak lysine 2,3-aminomutase activity; required for EF-P-mediated translation of polyprolines	Covalent modification regulation 	post-translational protein modification
True	EG10344	ftsW	essential cell division protein FtsW; lipid II flippase	characterized	characterized	1.20942359333E-05	0.97	N.A.	N.A.	N.A.	E	E	u	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	Membrane; Cell division	Putative lipid II flippase; divisome protein recruiting FtsI; SEDS protein	Cytokinesis 	lipid-linked peptidoglycan transport
True	EG10464	lpxL	lauroyl acyltransferase	characterized	characterized	0.000005534	0.88	0.356	0.424	0.348	N	N	u	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	Factor; Adaptations, atypical conditions	Lipid A synthesis, KDO2-lipid IVA lauroyl-ACP acyltransferase; not under heat shock regulation; membrane protein affecting cell division, growth, and high-temperature survival	Endotoxin synthesis 	Kdo2-lipid A biosynthetic process
