"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Names"
G7082	"b2002"	2076308	2076754	G7082-MONOMER	"yeeS" // "b2002" // "ECK1995"
G6732	"b1413"	1483061	1486963	G6732-MONOMER	"hrpA" // "b1413" // "ECK1406"
G7036	"b1906"	1989251	1989490	G7036-MONOMER	"yecH" // "b1906" // "ECK1905"
G6825	"b1552"	1638455	1638667	G6825-MONOMER	"cspI" // "cspJ" // "b1552" // "ECK1546"
EG12366	"b2946"	3091134	3091865	EG12366-MONOMER	"rsmE" // "yggJ" // "b2946" // "ECK2941"
G6946	"b1751"	1834116	1834793	G6946-MONOMER	"ydjY" // "b1751" // "ECK1749"
G6689	"b1366"	1425621	1425980	G6689-MONOMER	"ydaY" // "b1366" // "ECK1364"
EG11757	"b4168"	4395585	4396046	EG11757-MONOMER	"tsaE" // "yjeE" // "b4168" // "ECK4164"
G6796	"b1506"	1590357	1590536	G6796-MONOMER	"yneL" // "b1506" // "ECK1499"
G6595	"b1151"	1205731	1206204	G6595-MONOMER	"beeE" // "ymfO" // "b1151" // "ECK1137"
EG11022	"b3965"	4162170	4163270	EG11022-MONOMER	"trmA" // "rT" // "b3965" // "ECK3957"
G6741	"b1428"	1499469	1500449	G6741-MONOMER	"ydcK" // "b1428" // "ECK1421"
G6151	"b0280"	295139	295579	G6151-MONOMER	"yagN" // "b0280" // "ECK0279"
G7452	"b2794"	2925348	2926196	G7452-MONOMER	"queF" // "yqcD" // "b2794" // "ECK2789"
G6625	"b1196"	1245160	1245600	G6625-MONOMER	"ycgY" // "b1196" // "ECK1184"
G6129	"b0254"	269289	270182	G6129-MONOMER	"perR" // "b0254" // "ECK0256"
G6501	"b0967"	1028779	1029969	G6501-MONOMER	"rlmI" // "yccW" // "b0967" // "ECK0958"
G6495	"b0960"	1021730	1023883	G6495-MONOMER	"yccS" // "b0960" // "ECK0951"
EG12877	"b1154"	1207501	1208130	EG12877-MONOMER	"ycfK" // "stfP" // "b1154" // "ECK1140"
EG12216	"b3470"	3608751	3608996	EG12216-MONOMER	"tusA" // "yhhP" // "sirA" // "b3470" // "ECK3454"
G6288	"b4572"	548357	549616	G6288-MONOMER	"ylbE" // "b0519 (obsolete)" // G0-10554 // "b4507 (obsolete)" // "b4572" // "ECK0512"
EG11740	"b0568"	587982	590954	EG11740-MONOMER	"nfrA" // "b0568" // "ECK0560"
EG11503	"b0195"	218887	219594	EG11503-MONOMER	"trmO" // "tsaA" // "yaeB" // "b0195" // "ECK0195"
G6176	"b0306"	321608	322327	G6176-MONOMER	"ykgE" // "b0306" // "ECK0305"
EG11008	"b0740"	777740	779032	EG11008-MONOMER	"tolB" // "lky" // "lkyA" // "tol-3" // "b0740" // "ECK0729"
EG10967	"b3651"	3824515	3825204	EG10967-MONOMER	"trmH" // "spoU" // "b3651" // "ECK3641"
G0-8887	"b4598"	1517099	1517194	MONOMER0-761	"yncL" // "b4598" // "ECK4408"
EG10528	"b4036"	4247971	4249311	EG10528-MONOMER	"lamB" // "malL" // "malB" // "b4036" // "ECK4028"
G7422	"b2745"	2870255	2871304	G7422-MONOMER	"truD" // "ygbO" // "b2745" // "ECK2740"
G0-10601	"b4610"	2969330	2969476	MONOMER0-2825	"ygdT" // "b4610" // "ECK4419"
G7280	"b2450"	2564523	2565332	G7280-MONOMER	"yffS" // "b2450" // "ECK2445"
G6416	"b0807"	842332	843258	G6416-MONOMER	"rlmF" // "ybiN" // "b0807" // "ECK0796"
G0-10446	"b4525"	1390680	1390862	MONOMER0-2668	"ymjC" // "b4525" // "ECK1323"
