Transription Units,TU BNum,TU EcoCycID,First Gene,Last Gene,TU Start,TU End,TU Length,TU RNA Deg Rate,Avg Deg Rate,Stdev Deg Rate
"[thrL, thrA]","(b0001, b0002)","[EG11277, EG10998]",b0001,b0002,190,2799,2609,"[210.0, 174.0]",192.0,18.0
"[thrL, thrA, thrB]","(b0001, b0002, b0003)","[EG11277, EG10998, EG10999]",b0001,b0003,190,3733,3543,"[210.0, 174.0, 180.0]",188.0,15.748015748
[thrL],"(b0001,)",[EG11277],b0001,b0001,190,255,65,[210.0],210.0,0.0
"[thrA, thrB]","(b0002, b0003)","[EG10998, EG10999]",b0002,b0003,337,3733,3396,"[174.0, 180.0]",177.0,3.0
[thrA],"(b0002,)",[EG10998],b0002,b0002,337,2799,2462,[174.0],174.0,0.0
"[thrB, thrC]","(b0003, b0004)","[EG10999, EG11000]",b0003,b0004,2801,5020,2219,"[180.0, 186.0]",183.0,3.0
[thrB],"(b0003,)",[EG10999],b0003,b0003,2801,3733,932,[180.0],180.0,0.0
"[thrB, thrC, yaaX]","(b0003, b0004, b0005)","[EG10999, EG11000, G6081]",b0003,b0005,2801,5530,2729,"[180.0, 186.0, 344.82]",236.94,76.3219968292
[thrC],"(b0004,)",[EG11000],b0004,b0004,3734,5020,1286,[186.0],186.0,0.0
[yaaX],"(b0005,)",[G6081],b0005,b0005,5234,5530,296,[344.82],344.82,0.0
"[yaaX, yaaA]","(b0005, b0006)","[G6081, EG10011]",b0005,b0006,5234,6459,1225,"[344.82, 228.0]",286.41,58.41
"[yaaA, yaaJ]","(b0006, b0007)","[EG10011, EG11555]",b0006,b0007,5683,7959,2276,"[228.0, 498.0]",363.0,135.0
[yaaA],"(b0006,)",[EG10011],b0006,b0006,5683,6459,776,[228.0],228.0,0.0
[yaaJ],"(b0007,)",[EG11555],b0007,b0007,6529,7959,1430,[498.0],498.0,0.0
"[talB, mog]","(b0008, b0009)","[EG11556, EG11511]",b0008,b0009,8238,9893,1655,"[204.0, 612.0]",408.0,204.0
[talB],"(b0008,)",[EG11556],b0008,b0008,8238,9191,953,[204.0],204.0,0.0
"[talB, mog, satP]","(b0008, b0009, b0010)","[EG11556, EG11511, EG11512]",b0008,b0010,8238,10494,2256,"[204.0, 612.0, 318.0]",378.0,171.883681599
"[mog, satP]","(b0009, b0010)","[EG11511, EG11512]",b0009,b0010,9306,10494,1188,"[612.0, 318.0]",465.0,147.0
[mog],"(b0009,)",[EG11511],b0009,b0009,9306,9893,587,[612.0],612.0,0.0
"[dnaK, dnaJ, insL1]","(b0014, b0015, b0016)","[EG10241, EG10240, G6083]",b0014,b0016,12163,16557,4394,"[144.0, 150.0, 228.0]",174.0,38.2622529394
"[dnaK, dnaJ]","(b0014, b0015)","[EG10241, EG10240]",b0014,b0015,12163,15298,3135,"[144.0, 150.0]",147.0,3.0
[dnaK],"(b0014,)",[EG10241],b0014,b0014,12163,14079,1916,[144.0],144.0,0.0
"[dnaJ, insL1]","(b0015, b0016)","[EG10240, G6083]",b0015,b0016,14168,16557,2389,"[150.0, 228.0]",189.0,39.0
"[dnaJ, insL1, mokC, hokC]","(b0015, b0016, b0018, b4412)","[EG10240, G6083, EG10373, G0-9563]",b0015,b4412,14168,16903,2735,"[150.0, 228.0, 498.0, 344.82]",305.205,131.137775164
[dnaJ],"(b0015,)",[EG10240],b0015,b0015,14168,15298,1130,[150.0],150.0,0.0
[nhaA],"(b0019,)",[EG10652],b0019,b0019,17489,18655,1166,[396.0],396.0,0.0
"[nhaA, nhaR]","(b0019, b0020)","[EG10652, EG11078]",b0019,b0020,17489,19620,2131,"[396.0, 246.0]",321.0,75.0
[nhaR],"(b0020,)",[EG11078],b0020,b0020,18715,19620,905,[246.0],246.0,0.0
"[insA, rpsT]","(b0022, b0023)","[G6086, EG10919]",b0022,b0023,20233,21078,845,"[318.0, 144.0]",231.0,87.0
[rpsT],"(b0023,)",[EG10919],b0023,b0023,20815,21078,263,[144.0],144.0,0.0
"[yaaY, ribF]","(b0024, b0025)","[G6087, EG11079]",b0024,b0025,21181,22348,1167,"[344.82, 344.82]",344.82,0.0
[yaaY],"(b0024,)",[G6087],b0024,b0024,21181,21399,218,[344.82],344.82,0.0
[ribF],"(b0025,)",[EG11079],b0025,b0025,21407,22348,941,[344.82],344.82,0.0
"[ribF, ileS]","(b0025, b0026)","[EG11079, EG10492]",b0025,b0026,21407,25207,3800,"[344.82, 120.0]",232.41,112.41
[ileS],"(b0026,)",[EG10492],b0026,b0026,22391,25207,2816,[120.0],120.0,0.0
"[ileS, lspA]","(b0026, b0027)","[EG10492, EG10548]",b0026,b0027,22391,25701,3310,"[120.0, 228.0]",174.0,54.0
"[ileS, lspA, fkpB]","(b0026, b0027, b0028)","[EG10492, EG10548, EG11080]",b0026,b0028,22391,26275,3884,"[120.0, 228.0, 344.82]",230.94,91.8059213777
"[lspA, fkpB, ispH]","(b0027, b0028, b0029)","[EG10548, EG11080, EG11081]",b0027,b0029,25207,27227,2020,"[228.0, 344.82, 344.82]",305.88,55.0694761188
"[lspA, fkpB]","(b0027, b0028)","[EG10548, EG11080]",b0027,b0028,25207,26275,1068,"[228.0, 344.82]",286.41,58.41
[lspA],"(b0027,)",[EG10548],b0027,b0027,25207,25701,494,[228.0],228.0,0.0
"[fkpB, ispH]","(b0028, b0029)","[EG11080, EG11081]",b0028,b0029,25826,27227,1401,"[344.82, 344.82]",344.82,0.0
"[fkpB, ispH, rihC]","(b0028, b0029, b0030)","[EG11080, EG11081, EG11082]",b0028,b0030,25826,28207,2381,"[344.82, 344.82, 462.0]",383.88,55.2391817463
[fkpB],"(b0028,)",[EG11080],b0028,b0028,25826,26275,449,[344.82],344.82,0.0
[rihC],"(b0030,)",[EG11082],b0030,b0030,27293,28207,914,[462.0],462.0,0.0
"[rihC, dapB]","(b0030, b0031)","[EG11082, EG10206]",b0030,b0031,27293,29195,1902,"[462.0, 210.0]",336.0,126.0
[dapB],"(b0031,)",[EG10206],b0031,b0031,28374,29195,821,[210.0],210.0,0.0
"[carA, carB]","(b0032, b0033)","[EG10134, EG10135]",b0032,b0033,29651,34038,4387,"[246.0, 312.0]",279.0,33.0
[carA],"(b0032,)",[EG10134],b0032,b0032,29651,30799,1148,[246.0],246.0,0.0
[carB],"(b0033,)",[EG10135],b0033,b0033,30817,34038,3221,[312.0],312.0,0.0
"[caiC, caiB]","(b0037, b0038)","[EG11558, EG11559]",b0037,b0038,36271,39115,2844,"[318.0, 348.0]",333.0,15.0
[caiB],"(b0038,)",[EG11559],b0038,b0038,37898,39115,1217,[348.0],348.0,0.0
[fixA],"(b0041,)",[EG11562],b0041,b0041,42403,43173,770,[276.0],276.0,0.0
"[fixA, fixB]","(b0041, b0042)","[EG11562, EG11563]",b0041,b0042,42403,44129,1726,"[276.0, 282.0]",279.0,3.0
"[fixA, fixB, fixC, fixX]","(b0041, b0042, b0043, b0044)","[EG11562, EG11563, EG11564, EG11565]",b0041,b0044,42403,45750,3347,"[276.0, 282.0, 660.0, 276.0]",373.5,165.428987786
"[fixA, fixB, fixC]","(b0041, b0042, b0043)","[EG11562, EG11563, EG11564]",b0041,b0043,42403,45466,3063,"[276.0, 282.0, 660.0]",406.0,179.621824955
"[fixB, fixC, fixX]","(b0042, b0043, b0044)","[EG11563, EG11564, EG11565]",b0042,b0044,43188,45750,2562,"[282.0, 660.0, 276.0]",406.0,179.621824955
[fixB],"(b0042,)",[EG11563],b0042,b0042,43188,44129,941,[282.0],282.0,0.0
"[fixC, fixX, yaaU]","(b0043, b0044, b0045)","[EG11564, EG11565, EG11566]",b0043,b0045,44180,47138,2958,"[660.0, 276.0, 486.0]",474.0,156.996815254
[kefF],"(b0046,)",[EG11568],b0046,b0046,47246,47776,530,[414.0],414.0,0.0
"[kefF, kefC, folA]","(b0046, b0047, b0048)","[EG11568, EG10521, EG10326]",b0046,b0048,47246,50302,3056,"[414.0, 498.0, 372.0]",428.0,52.3832034148
"[kefF, kefC]","(b0046, b0047)","[EG11568, EG10521]",b0046,b0047,47246,49631,2385,"[414.0, 498.0]",456.0,42.0
[kefC],"(b0047,)",[EG10521],b0047,b0047,47769,49631,1862,[498.0],498.0,0.0
[folA],"(b0048,)",[EG10326],b0048,b0048,49823,50302,479,[372.0],372.0,0.0
"[apaH, apaG, rsmA]","(b0049, b0050, b0051)","[EG10048, EG10047, EG10523]",b0049,b0051,50380,52430,2050,"[216.0, 174.0, 132.0]",174.0,34.292856399
"[apaH, apaG]","(b0049, b0050)","[EG10048, EG10047]",b0049,b0050,50380,51606,1226,"[216.0, 174.0]",195.0,21.0
"[apaG, rsmA, pdxA, surA]","(b0050, b0051, b0052, b0053)","[EG10047, EG10523, EG10691, EG10985]",b0050,b0053,51229,54702,3473,"[174.0, 132.0, 204.0, 102.0]",153.0,39.0
[apaG],"(b0050,)",[EG10047],b0050,b0050,51229,51606,377,[174.0],174.0,0.0
"[apaG, rsmA]","(b0050, b0051)","[EG10047, EG10523]",b0050,b0051,51229,52430,1201,"[174.0, 132.0]",153.0,21.0
[rsmA],"(b0051,)",[EG10523],b0051,b0051,51609,52430,821,[132.0],132.0,0.0
"[rsmA, pdxA, surA]","(b0051, b0052, b0053)","[EG10523, EG10691, EG10985]",b0051,b0053,51609,54702,3093,"[132.0, 204.0, 102.0]",146.0,42.8018691181
[pdxA],"(b0052,)",[EG10691],b0052,b0052,52427,53416,989,[204.0],204.0,0.0
"[pdxA, surA]","(b0052, b0053)","[EG10691, EG10985]",b0052,b0053,52427,54702,2275,"[204.0, 102.0]",153.0,51.0
"[surA, lptD]","(b0053, b0054)","[EG10985, EG11569]",b0053,b0054,53416,57109,3693,"[102.0, 344.82]",223.41,121.41
[surA],"(b0053,)",[EG10985],b0053,b0053,53416,54702,1286,[102.0],102.0,0.0
[lptD],"(b0054,)",[EG11569],b0054,b0054,54755,57109,2354,[344.82],344.82,0.0
[djlA],"(b0055,)",[EG11570],b0055,b0055,57364,58179,815,[240.0],240.0,0.0
"[djlA, yabP]","(b0055, b4659)","[EG11570, EG12610]",b0055,b4659,57364,59279,1915,"[240.0, 282.0]",261.0,21.0
[yabP],"(b4659,)",[EG12610],b4659,b4659,58474,59279,805,[282.0],282.0,0.0
"[rluA, rapA]","(b0058, b0059)","[EG12609, EG11083]",b0058,b0059,59687,63264,3577,"[270.0, 344.82]",307.41,37.41
[rluA],"(b0058,)",[EG12609],b0058,b0058,59687,60346,659,[270.0],270.0,0.0
[rapA],"(b0059,)",[EG11083],b0059,b0059,60358,63264,2906,[344.82],344.82,0.0
[polB],"(b0060,)",[EG10747],b0060,b0060,63429,65780,2351,[246.0],246.0,0.0
"[araA, araB]","(b0062, b0063)","[EG10052, EG10053]",b0062,b0063,66835,70048,3213,"[324.0, 636.0]",480.0,156.0
[araA],"(b0062,)",[EG10052],b0062,b0062,66835,68337,1502,[324.0],324.0,0.0
[araB],"(b0063,)",[EG10053],b0063,b0063,68348,70048,1700,[636.0],636.0,0.0
[araC],"(b0064,)",[EG10054],b0064,b0064,70387,71265,878,[294.0],294.0,0.0
"[araC, yabI]","(b0064, b0065)","[EG10054, EG11571]",b0064,b0065,70387,72115,1728,"[294.0, 360.0]",327.0,33.0
[yabI],"(b0065,)",[EG11571],b0065,b0065,71351,72115,764,[360.0],360.0,0.0
"[thiQ, thiP]","(b0066, b0067)","[EG11572, EG11573]",b0066,b0067,72229,74521,2292,"[432.0, 438.0]",435.0,3.0
"[thiQ, thiP, thiB]","(b0066, b0067, b0068)","[EG11572, EG11573, EG11574]",b0066,b0068,72229,75480,3251,"[432.0, 438.0, 594.0]",488.0,74.993333037
[thiP],"(b0067,)",[EG11573],b0067,b0067,72911,74521,1610,[438.0],438.0,0.0
"[thiP, thiB]","(b0067, b0068)","[EG11573, EG11574]",b0067,b0068,72911,75480,2569,"[438.0, 594.0]",516.0,78.0
[thiB],"(b0068,)",[EG11574],b0068,b0068,74497,75480,983,[594.0],594.0,0.0
"[thiB, sgrR]","(b0068, b0069)","[EG11574, EG12094]",b0068,b0069,74497,77299,2802,"[594.0, 276.0]",435.0,159.0
[sgrR],"(b0069,)",[EG12094],b0069,b0069,75644,77299,1655,[276.0],276.0,0.0
[setA],"(b0070,)",[EG11754],b0070,b0070,77621,78799,1178,[344.82],344.82,0.0
[leuD],"(b0071,)",[EG11575],b0071,b0071,78848,79453,605,[174.0],174.0,0.0
"[leuD, leuC, leuB, leuA, leuL]","(b0071, b0072, b0073, b0074, b0075)","[EG11575, EG11576, EG11577, EG11226, EG11280]",b0071,b0075,78848,83708,4860,"[174.0, 126.0, 108.0, 108.0, 420.0]",187.2,118.87876177
"[leuD, leuC, leuB]","(b0071, b0072, b0073)","[EG11575, EG11576, EG11577]",b0071,b0073,78848,81958,3110,"[174.0, 126.0, 108.0]",136.0,27.8567765544
"[leuD, leuC]","(b0071, b0072)","[EG11575, EG11576]",b0071,b0072,78848,80864,2016,"[174.0, 126.0]",150.0,24.0
[leuC],"(b0072,)",[EG11576],b0072,b0072,79464,80864,1400,[126.0],126.0,0.0
"[leuC, leuB]","(b0072, b0073)","[EG11576, EG11577]",b0072,b0073,79464,81958,2494,"[126.0, 108.0]",117.0,9.0
[leuB],"(b0073,)",[EG11577],b0073,b0073,80867,81958,1091,[108.0],108.0,0.0
"[leuB, leuA]","(b0073, b0074)","[EG11577, EG11226]",b0073,b0074,80867,83529,2662,"[108.0, 108.0]",108.0,0.0
"[leuB, leuA, leuL]","(b0073, b0074, b0075)","[EG11577, EG11226, EG11280]",b0073,b0075,80867,83708,2841,"[108.0, 108.0, 420.0]",212.0,147.078210487
"[leuA, leuL]","(b0074, b0075)","[EG11226, EG11280]",b0074,b0075,81958,83708,1750,"[108.0, 420.0]",264.0,156.0
[leuA],"(b0074,)",[EG11226],b0074,b0074,81958,83529,1571,[108.0],108.0,0.0
[leuL],"(b0075,)",[EG11280],b0075,b0075,83622,83708,86,[420.0],420.0,0.0
[leuO],"(b0076,)",[EG10531],b0076,b0076,84368,85312,944,[420.0],420.0,0.0
"[ilvI, ilvH]","(b0077, b0078)","[EG10500, EG10499]",b0077,b0078,85630,87848,2218,"[186.0, 150.0]",168.0,18.0
"[ilvI, ilvH, cra]","(b0077, b0078, b0080)","[EG10500, EG10499, EG10338]",b0077,b0080,85630,89032,3402,"[186.0, 150.0, 344.82]",226.94,84.6395132311
[ilvI],"(b0077,)",[EG10500],b0077,b0077,85630,87354,1724,[186.0],186.0,0.0
